subset,criterion,GroupCount,B,D,Z_zero
DS02,L_curve,12,0.88544731142015,0.131136497792277,0
DS02,Morozov_tau1.0,12,-7.19992900837337,0.214392547621538,0
DS02,Morozov_tau1.5,12,-6.99322955266141,0.331650446200736,0
DS02,Morozov_tau2.0,12,-5.05097510478384,0.268825660498023,0
DS02,Morozov_tau3.0,12,0.426415838299383,0.45463041023575,0
DS02,lam_dev,12,0.910179833908553,0.931206814390949,0
DS02,oracle,12,0.911581565936115,0.966679555590377,0
DS03,L_curve,24,0.900482464520891,0.324798936303031,0
DS03,Morozov_tau1.0,24,-3.39461944174209,0.342997026531667,0
DS03,Morozov_tau1.5,24,-3.46584610692285,0.453172446874755,0
DS03,Morozov_tau2.0,24,0.147359089442559,0.54246739219555,0
DS03,Morozov_tau3.0,24,0.592558296849547,0.490029154381301,0
DS03,lam_dev,24,0.916508388347813,0.747051639911162,0
DS03,oracle,24,0.925151080297746,0.969207077164134,0
