regime,subset,arm,GroupCount,mean_skill,Z_zero_skill
in_dist,DS05_id,D,8,0.9834048,0
in_dist,DS05_id,E_Lin,8,0.7796775,0
in_dist,DS05_id,E_MLP,8,-1.075706,0
in_dist,DS05_id,E_MixLinear,8,0.8912088,0
in_dist,DS05_id,E_WPMixer,8,-13.34823,0
in_dist,DS07_id,D,8,0.4863735,0
in_dist,DS07_id,E_Lin,8,0.03840666,0
in_dist,DS07_id,E_MLP,8,0.1797783,0
in_dist,DS07_id,E_MixLinear,8,0.6098498,0
in_dist,DS07_id,E_WPMixer,8,-4.212927,0
ood_combo,DS02,D,12,0.9390668,0
ood_combo,DS02,E_Lin,12,0.7834743,0
ood_combo,DS02,E_MLP,12,0.1151439,0
ood_combo,DS02,E_MixLinear,12,0.8624136,0
ood_combo,DS02,E_WPMixer,12,-6.95899,0
ood_combo,DS03,D,24,0.9494826,0
ood_combo,DS03,E_Lin,24,0.8594939,0
ood_combo,DS03,E_MLP,24,0.2478011,0
ood_combo,DS03,E_MixLinear,24,0.8199854,0
ood_combo,DS03,E_WPMixer,24,-8.107565,0
