tsne1,tsne2,label
-7.453375,3.9304564,正常
-7.520722,2.7071955,正常
-8.595167,0.5337372,正常
-7.059362,-0.96299666,正常
-1.2603993,-1.3644841,正常
-10.167797,-0.7917959,正常
-9.569032,0.1120571,正常
-4.8536005,-8.9236765,正常
-4.312621,-6.120912,正常
-4.557665,0.38408896,正常
-5.3449416,-0.16113101,正常
-8.42157,-5.6568313,正常
-3.9143488,-2.115566,正常
-4.6241083,-5.314056,涡轮
-8.594299,-5.0278225,涡轮
-1.51197,-2.7133765,涡轮
-5.254948,-9.048095,涡轮
0.46883687,-2.9570343,涡轮
-4.532577,-12.437385,涡轮
-1.8820212,-12.770083,涡轮
1.2958416,-4.261696,涡轮
-0.82930404,-13.482884,涡轮
-4.0096955,-14.32088,涡轮
-2.4406395,-11.865296,涡轮
-1.6517272,-13.97026,涡轮
0.23235369,-13.5812435,涡轮
-3.1401684,-14.894711,涡轮
-4.59392,-16.013506,涡轮
-3.5561352,-16.269163,涡轮
-4.262487,-17.560446,涡轮
-8.275935,-0.4326003,正常
-5.3159184,13.845035,正常
-4.848498,13.8568945,正常
-3.625326,15.061166,正常
-6.6652927,13.762948,正常
-4.4778895,12.870189,正常
-5.1313677,15.034554,风扇
-3.9672248,14.170975,风扇
-6.5974913,14.640916,风扇
-5.1234393,12.692842,风扇
-8.39438,15.239199,风扇
-6.2530336,12.873665,风扇
-7.344058,14.634881,风扇
-6.167664,13.6734495,风扇
-1.2909896,12.593413,风扇
-3.85425,16.184393,风扇
-1.70776,14.683199,风扇
-1.5648139,13.595114,风扇
-1.172716,13.739108,风扇
-0.29461458,14.916846,风扇
-1.5810329,14.685198,风扇
-0.85994035,14.0813265,风扇
0.69599324,13.652066,风扇
1.0331401,13.871369,风扇
1.5085545,13.590052,风扇
1.9947144,14.004061,风扇
2.146042,14.016964,风扇
0.5163789,-10.00372,正常
-8.03484,2.004535,正常
-1.5867177,8.944148,正常
-1.2694422,7.543822,正常
0.8218401,4.473249,正常
1.3130616,3.955613,正常
1.1740026,7.46615,正常
0.7997555,2.2151937,高压压气机
2.4729328,1.1709656,高压压气机
2.293134,0.3419635,高压压气机
4.1869655,-2.3455153,高压压气机
5.439457,0.4302254,高压压气机
4.357187,-1.1359217,高压压气机
4.9207106,-0.49987194,高压压气机
5.9796133,2.1384263,高压压气机
2.9859457,4.724169,高压压气机
3.617033,3.5479019,高压压气机
7.9093814,2.8972042,高压压气机
8.537964,3.4182088,高压压气机
9.4632225,3.3384132,高压压气机
10.014231,4.2125087,高压压气机
11.179027,3.638961,高压压气机
11.483331,3.6331494,高压压气机
13.629629,3.4170732,高压压气机
14.274634,3.1706026,高压压气机
14.675834,2.418795,高压压气机
14.929603,2.9024053,高压压气机
15.900397,3.2434957,高压压气机
16.063301,2.8171344,高压压气机
16.514135,2.6405554,高压压气机
-6.4375763,-0.44171593,正常
-7.628646,-0.04843271,正常
-3.166397,-3.2270696,正常
-7.7986884,0.60213536,正常
-7.559171,-1.8559066,正常
-7.573797,0.94283986,正常
-5.6858892,-1.987563,正常
-3.1974442,-0.7962539,正常
-3.4843059,-3.6918309,正常
-1.9122306,0.6184993,正常
-2.0192726,0.9192244,正常
-0.31756294,-1.7155555,涡轮
-2.4896662,1.3484654,涡轮
-1.681241,-2.492357,涡轮
0.13596863,-15.890724,涡轮
0.75796777,-15.696795,涡轮
-0.4415593,-15.752674,涡轮
-0.18808798,-16.958832,涡轮
0.6071534,-16.532724,涡轮
1.1305175,-17.203245,涡轮
-0.5634522,-19.28959,涡轮
-7.2292633,1.8920304,正常
-1.7467606,-6.1415534,正常
-4.8275137,-1.2818878,正常
-3.8303459,-4.448699,正常
-4.062036,-6.622555,正常
-0.35892096,-8.609062,正常
3.0323484,-7.9732604,正常
-3.4934154,-8.461631,正常
-0.2852037,-8.233643,正常
1.7139033,-7.3221188,正常
-4.125563,-7.8980126,高压压气机
0.28863958,-7.608821,高压压气机
1.7357811,-7.781552,高压压气机
2.4200687,-8.212527,高压压气机
2.1524014,-9.591855,高压压气机
0.457341,-8.283033,高压压气机
6.1898923,-6.341887,高压压气机
5.734402,-7.044909,高压压气机
7.241572,-7.748227,高压压气机
7.6068254,-6.251996,高压压气机
8.157453,-6.389142,高压压气机
8.71051,-5.6888223,高压压气机
8.868845,-6.4434376,高压压气机
8.937035,-6.8698473,高压压气机
10.015507,-6.1801505,高压压气机
9.893249,-6.7352085,高压压气机
10.832733,-6.5168147,高压压气机
11.043353,-6.5879774,高压压气机
12.170323,-6.730511,高压压气机
12.2672205,-6.740679,高压压气机
-7.0042667,1.1604562,正常
-5.5343423,0.5344786,正常
-6.191625,0.8085622,正常
-3.6000154,-2.8586998,正常
-6.593009,-2.146134,正常
-4.765429,-3.414967,正常
-1.6804413,-3.465288,正常
0.17168437,-2.455899,正常
-0.8108001,-6.8088717,正常
-2.9048877,-4.349374,正常
1.3311666,-3.055322,正常
-1.0794575,-7.81319,正常
-0.5139217,-5.9013286,涡轮
-4.2106214,-8.920363,涡轮
2.5321546,-4.5699687,涡轮
2.5700378,-4.593721,涡轮
-5.416377,-13.183922,涡轮
-2.2239897,-12.865099,涡轮
-4.0067034,-13.035106,涡轮
-2.7500794,-16.333353,涡轮
-2.48869,-16.96531,涡轮
-2.972419,-17.522943,涡轮
-2.7219458,-17.945583,涡轮
-3.3792121,-18.20141,涡轮
