cycle,rul_true,rul_pred,band_lo,band_hi
41,34,27,27.200000000000003,40.8
42,33,26,26.400000000000002,39.6
43,32,26,25.6,38.4
44,31,25,24.8,37.199999999999996
45,30,25,24.0,36.0
46,29,24,23.200000000000003,34.8
47,28,23,22.400000000000002,33.6
48,27,23,21.6,32.4
49,26,22,20.8,31.2
50,25,21,20.0,30.0
51,24,21,19.200000000000003,28.799999999999997
52,23,20,18.400000000000002,27.599999999999998
53,22,19,17.6,26.4
54,21,18,16.8,25.2
55,20,17,16.0,24.0
56,19,16,15.200000000000001,22.8
57,18,15,14.4,21.599999999999998
58,17,14,13.600000000000001,20.4
59,16,13,12.8,19.2
60,15,13,12.0,18.0
61,14,12,11.200000000000001,16.8
62,13,11,10.4,15.6
63,12,10,9.600000000000001,14.399999999999999
64,11,9,8.8,13.2
65,10,8,8.0,12.0
66,9,7,7.2,10.799999999999999
67,8,6,6.4,9.6
68,7,5,5.6000000000000005,8.4
69,6,4,4.800000000000001,7.199999999999999
70,5,3,4.0,6.0
71,4,2,3.2,4.8
72,3,2,2.4000000000000004,3.5999999999999996
73,2,1,1.6,2.4
74,1,0,0.8,1.2
