cycle,hi_true,hi_pred,band_lo,band_hi,anchor,thr,subset,unit
0,0.0015395950556945023,0.014588098039790668,0.02233807650230298,0.03223267490478132,57,0.3,DS01-005_id,4
1,0.0015395950556945023,0.014736837198428514,0.022483846087333493,0.03235973056478116,57,0.3,DS01-005_id,4
2,0.002680819174299704,0.014896161502641631,0.02263998967603587,0.03249582789015194,57,0.3,DS01-005_id,4
3,0.002680819174299704,0.015066824253093244,0.022807914302078368,0.03264161031317123,57,0.3,DS01-005_id,4
4,0.002680819174299704,0.015249632359712996,0.022997512898243814,0.03279776705470522,57,0.3,DS01-005_id,4
5,0.009063958584105306,0.015445450156844858,0.023200604234451656,0.03296503638266323,57,0.3,DS01-005_id,4
6,0.009063958584105306,0.01565520348990318,0.023418148518412,0.033144209102333816,57,0.3,DS01-005_id,4
7,0.009063958584105306,0.01587988409285904,0.02365117429079355,0.033336132295103724,57,0.3,DS01-005_id,4
8,0.013680062128922053,0.01612055427725403,0.023900783288122705,0.03354171332323535,57,0.3,DS01-005_id,4
9,0.015374714744243949,0.01637835195491158,0.024154308379112182,0.03376192411963635,57,0.3,DS01-005_id,4
10,0.015374714744243949,0.016654496018093705,0.0244097532026096,0.03399780578290221,57,0.3,DS01-005_id,4
11,0.015374714744243949,0.0169502921025411,0.024683376961960487,0.034250473499355984,57,0.3,DS01-005_id,4
12,0.017562880616400198,0.01726713876064472,0.02497647337572311,0.03452112181535523,57,0.3,DS01-005_id,4
13,0.0181005327872193,0.017606534073936243,0.025290428230975125,0.0348110302847923,57,0.3,DS01-005_id,4
14,0.01959581575901162,0.017970082736161942,0.025642451035845032,0.035121569518487876,57,0.3,DS01-005_id,4
15,0.01959581575901162,0.018359503640429316,0.02602180624500926,0.03545420766407759,57,0.3,DS01-005_id,4
16,0.01959581575901162,0.01877663800629936,0.026428159102447543,0.03581051734702703,57,0.3,DS01-005_id,4
17,0.02299053286935976,0.019223458085250066,0.026863430955210706,0.03619218310559043,57,0.3,DS01-005_id,4
18,0.02299053286935976,0.019702076485671464,0.027329846079969623,0.03660100935486341,57,0.3,DS01-005_id,4
19,0.02299053286935976,0.02021475616148167,0.027831073937731328,0.03703892891758196,57,0.3,DS01-005_id,4
20,0.025783458114040814,0.020763921111591067,0.028367972831219633,0.03750801216199879,57,0.3,DS01-005_id,4
21,0.025783458114040814,0.021352167840802752,0.028943081371906574,0.03801047679003866,57,0.3,DS01-005_id,4
22,0.025783458114040814,0.021982277636337425,0.02955911883740057,0.03854869832200853,57,0.3,DS01-005_id,4
23,0.025783458114040814,0.022657229718027402,0.030204385012624898,0.03912522132743128,57,0.3,DS01-005_id,4
24,0.025783458114040814,0.023380215324355066,0.03088517523799965,0.039742771455099746,57,0.3,DS01-005_id,4
25,0.029345620442820276,0.024154652800935924,0.03164386446279622,0.04040426831922564,57,0.3,DS01-005_id,4
26,0.032067337059630226,0.024984203762786067,0.03246565861271319,0.04111283930260596,57,0.3,DS01-005_id,4
27,0.032067337059630226,0.025872790406790816,0.03334709165704378,0.04186927641399232,57,0.3,DS01-005_id,4
28,0.032067337059630226,0.026824614056229573,0.03425152515192329,0.04265814751707767,57,0.3,DS01-005_id,4
29,0.032067337059630226,0.027844175025037103,0.03521478613227765,0.04347307142799545,57,0.3,DS01-005_id,4
30,0.032067337059630226,0.028936293895721478,0.036283946632954554,0.04434598992033169,57,0.3,DS01-005_id,4
31,0.032067337059630226,0.030106134311542743,0.03743248599113668,0.045304837461467275,57,0.3,DS01-005_id,4
32,0.032067337059630226,0.03135922739071577,0.03865822408740457,0.046400883494562686,57,0.3,DS01-005_id,4
33,0.04023480739706711,0.03270149787807024,0.03998359591212557,0.047574927953007634,57,0.3,DS01-005_id,4
34,0.04264629101284117,0.03413929215781503,0.04139210728834712,0.04883252147443349,57,0.3,DS01-005_id,4
35,0.04264629101284117,0.035679408259854405,0.042906826337350996,0.050179609699037106,57,0.3,DS01-005_id,4
36,0.04264629101284117,0.037329128001528454,0.044529339541106154,0.05162121561415253,57,0.3,DS01-005_id,4
37,0.04264629101284117,0.039096251416747094,0.04622116607781863,0.053160247668432845,57,0.3,DS01-005_id,4
38,0.04264629101284117,0.040989133635302114,0.04802013643088626,0.05477870511527947,57,0.3,DS01-005_id,4
39,0.04391550572591112,0.04301672438672594,0.04991147619802331,0.056517369720443134,57,0.3,DS01-005_id,4
40,0.04391550572591112,0.04518861031547525,0.051906747802362284,0.05849089670264034,57,0.3,DS01-005_id,4
41,0.05398563065168625,0.04751506030750979,0.054004492523743286,0.060540885399274255,57,0.3,DS01-005_id,4
42,0.05398563065168625,0.050007074042574706,0.05624776297081108,0.06272877549936579,57,0.3,DS01-005_id,4
43,0.055646235139977976,0.05267643400174635,0.05854393766784064,0.06521561599425073,57,0.3,DS01-005_id,4
44,0.055646235139977976,0.05553576117613819,0.0612500629797749,0.06788484357473182,57,0.3,DS01-005_id,4
45,0.056773375131740356,0.058598574740163,0.06398746464195884,0.07079529243852004,57,0.3,DS01-005_id,4
46,0.05987466557470961,0.06187935597149226,0.06691852367698353,0.07396917201669845,57,0.3,DS01-005_id,4
47,0.06785039246570114,0.0653936167199323,0.07007946150280911,0.07732335465748455,57,0.3,DS01-005_id,4
48,0.06785039246570114,0.06915797274894514,0.07342971733447945,0.08092773680148016,57,0.3,DS01-005_id,4
49,0.06785039246570114,0.07319022229657918,0.07702258023675441,0.08503760511576053,57,0.3,DS01-005_id,4
50,0.07667908847630377,0.07750943022725366,0.08057488931581958,0.0892612923425634,57,0.3,DS01-005_id,4
51,0.07667908847630377,0.08213601817227509,0.08479686235125761,0.0937776690609655,57,0.3,DS01-005_id,4
52,0.08244927186163,0.08709186108527764,0.08902864506893765,0.0987827908725516,57,0.3,DS01-005_id,4
53,0.08894655880064811,0.09240039066911189,0.09351409611439895,0.10424451001723074,57,0.3,DS01-005_id,4
54,0.10327330780016064,0.09808670616319416,0.09812659447108052,0.11003916242957615,57,0.3,DS01-005_id,4
55,0.10327330780016064,0.10417769301512861,0.10302518112844826,0.1161950992227787,57,0.3,DS01-005_id,4
56,0.10973696544858683,0.11070214999769458,0.10857039868080264,0.12278694589440498,57,0.3,DS01-005_id,4
57,0.11277659869168358,0.11769092537221953,0.11446039566238252,0.12984790344767166,57,0.3,DS01-005_id,4
58,0.117403179381938,0.12517706274213083,0.1206376574127542,0.1374113563088658,57,0.3,DS01-005_id,4
59,0.12549564476257064,0.13319595728629718,0.1272637743439359,0.1457051764453454,57,0.3,DS01-005_id,4
60,0.1261556986091525,0.1417855231108451,0.13435030927769287,0.15463128286539657,57,0.3,DS01-005_id,4
61,0.1413707903529558,0.1509863725107061,0.1419348475163885,0.164048476359501,57,0.3,DS01-005_id,4
62,0.15048561717855147,0.16084200798846063,0.15007003722954643,0.17409975638876948,57,0.3,DS01-005_id,4
63,0.1634652492961136,0.17139902793836237,0.15879190959065845,0.18486342790900673,57,0.3,DS01-005_id,4
64,0.17773291044273723,0.1827073469680365,0.16815333660415593,0.19638565391417523,57,0.3,DS01-005_id,4
65,0.184430282292696,0.1948204318995547,0.1781911575559019,0.20872782211727803,57,0.3,DS01-005_id,4
66,0.19565933547751332,0.20779555456572146,0.18879771453055133,0.22194828107073106,57,0.3,DS01-005_id,4
67,0.19565933547751332,0.2216940625968192,0.20025653509169458,0.2361607452904528,57,0.3,DS01-005_id,4
68,0.20790486044251225,0.23658166947811604,0.21253084214620718,0.25140613225563074,57,0.3,DS01-005_id,4
