cycle,severity_est,severity_true,truth,pred,detected
1,0.0,-0.0,正常,正常,0
2,0.0017616675015815994,0.0026716636454339436,正常,正常,0
3,0.0017616675015815994,0.00196213480037713,正常,正常,0
4,0.004518596544418012,0.0024444718906927176,正常,正常,0
5,0.004518596544418012,0.004606627306314136,正常,正常,0
6,0.004518596544418012,0.003383234843662604,正常,正常,0
7,0.004518596544418012,0.0025384756228537184,正常,正常,0
8,0.004518596544418012,-0.0,正常,正常,0
9,0.004518596544418012,0.003696429025500103,正常,正常,0
10,0.004518596544418012,0.000300556451723763,正常,正常,0
11,0.004518596544418012,0.0025484798363978427,正常,正常,0
12,0.004518596544418012,-0.0,正常,正常,0
13,0.004518596544418012,0.00849014748653602,正常,正常,0
14,0.004518596544418012,0.010273836763946238,正常,正常,0
15,0.004518596544418012,0.0030893475453585735,正常,正常,0
16,0.004518596544418012,0.012852853554550275,正常,正常,0
17,0.004518596544418012,0.007006586443923456,正常,正常,0
18,0.004518596544418012,0.005549298227413967,正常,正常,0
19,0.004518596544418012,0.01234650519317396,高压压气机,正常,0
20,0.004518596544418012,0.007653475267748119,高压压气机,正常,0
21,0.00679121544610003,0.004796097582898555,高压压气机,正常,0
22,0.00679121544610003,0.008125870695032608,高压压气机,正常,0
23,0.00679121544610003,0.006040982218355688,高压压气机,正常,0
24,0.00679121544610003,0.00938031022247893,高压压气机,正常,0
25,0.010170697027064154,0.014194370175050899,高压压气机,正常,0
26,0.010170697027064154,0.016574100805908727,高压压气机,正常,0
27,0.010170697027064154,0.00983802959956711,高压压气机,正常,0
28,0.010170697027064154,0.011300935449815346,高压压气机,正常,0
29,0.010843930972783366,0.023287287162613742,高压压气机,正常,0
30,0.018475550718439315,0.015245958646865152,高压压气机,高压压气机,1
31,0.025442245802897254,0.02502676578163018,高压压气机,高压压气机,1
32,0.025442245802897254,0.030527156683891738,高压压气机,高压压气机,1
33,0.025442245802897254,0.03218716092203465,高压压气机,高压压气机,1
34,0.033439477230029574,0.035205550738356114,高压压气机,高压压气机,1
35,0.038474256280892835,0.04769534649318227,高压压气机,高压压气机,1
36,0.047601895273773655,0.04904686286555854,高压压气机,高压压气机,1
37,0.047601895273773655,0.048244539638088293,高压压气机,高压压气机,1
38,0.053299528769147037,0.0548741760078193,高压压气机,高压压气机,1
39,0.0561194393504831,0.05737659274980207,高压压气机,高压压气机,1
40,0.058819708019485016,0.0577080504614305,高压压气机,高压压气机,1
41,0.06722678036425583,0.07018034922378916,高压压气机,高压压气机,1
42,0.06722678036425583,0.07180521186933732,高压压气机,高压压气机,1
43,0.07652202415470516,0.07734659197937607,高压压气机,高压压气机,1
44,0.0776292377008356,0.08086136812729385,高压压气机,高压压气机,1
45,0.08258213689804236,0.09073604595706676,高压压气机,高压压气机,1
46,0.10574279818374398,0.10740837520233146,高压压气机,高压压气机,1
47,0.10965688170073248,0.1113944620677042,高压压气机,高压压气机,1
48,0.11219309325586055,0.11488928880118265,高压压气机,高压压气机,1
49,0.120952971916816,0.1276521614167825,高压压气机,高压压气机,1
50,0.120952971916816,0.13239317333545322,高压压气机,高压压气机,1
51,0.13361478663456677,0.13949146396309262,高压压气机,高压压气机,1
52,0.13989225221519805,0.1445558351815092,高压压气机,高压压气机,1
53,0.15611666207970928,0.165524441050333,高压压气机,高压压气机,1
54,0.15611666207970928,0.17257335203157184,高压压气机,高压压气机,1
55,0.1677025747551155,0.18212223460104837,高压压气机,高压压气机,1
56,0.1982046598144706,0.19673290311723549,高压压气机,高压压气机,1
57,0.2032301128775997,0.21465430495988785,高压压气机,高压压气机,1
58,0.20458626018706044,0.2264351488519411,高压压气机,高压压气机,1
59,0.22774413519159756,0.23323382629247946,高压压气机,高压压气机,1
60,0.25018147672790997,0.26105683109332595,高压压气机,高压压气机,1
61,0.2554989154958517,0.2743232752245025,高压压气机,高压压气机,1
62,0.2821166191801517,0.2989566491384454,高压压气机,高压压气机,1
63,0.31667936839384225,0.30899383786458434,高压压气机,高压压气机,1
64,0.3242067225412485,0.3371064103427551,高压压气机,高压压气机,1
65,0.3445397580160419,0.35031052390183803,高压压气机,高压压气机,1
66,0.3782802033063654,0.3769008965235617,高压压气机,高压压气机,1
67,0.4017709691242609,0.4113737752676415,高压压气机,高压压气机,1
68,0.44274659063808675,0.4305717366099399,高压压气机,高压压气机,1
69,0.4466912887634008,0.4563167865416276,高压压气机,高压压气机,1
70,0.4516960816266162,0.4869535096860871,高压压气机,高压压气机,1
71,0.5061668844327405,0.523370549897156,高压压气机,高压压气机,1
72,0.5760375095191418,0.5544622697521443,高压压气机,高压压气机,1
73,0.5946396334391253,0.5898659695210362,高压压气机,高压压气机,1
74,0.6219958337600353,0.6285271038301865,高压压气机,高压压气机,1
75,0.6988379755436097,0.6685269891831153,高压压气机,高压压气机,1
76,0.7213645543396525,0.7148508544938122,高压压气机,高压压气机,1
77,0.7598716408703661,0.7637310555727982,高压压气机,高压压气机,1
78,0.8219264169124777,0.8156253402489023,高压压气机,高压压气机,1
79,0.8327683213628622,0.8587843741721795,高压压气机,高压压气机,1
80,0.943916184630627,0.9249134549704175,高压压气机,高压压气机,1
