subset,unit,cycle,lambda,parameter,theta_true_pct,theta_hat_pct
DS03,13,1,0.001,HPT_eff_mod,-0.0147047418538638,-0
DS03,13,2,0.001,HPT_eff_mod,0.00900637378901299,-0
DS03,13,3,0.001,HPT_eff_mod,0.00569836806484819,-0
DS03,13,4,0.001,HPT_eff_mod,0.00604821038784819,-0
DS03,13,5,0.001,HPT_eff_mod,-0.018303942060937,-0
DS03,13,6,0.001,HPT_eff_mod,0.00698133242719638,-0
DS03,13,7,0.001,HPT_eff_mod,-0.0241601339504382,-0
DS03,13,8,0.001,HPT_eff_mod,-0.0209220896380462,-0
DS03,13,9,0.001,HPT_eff_mod,0.000997083593210081,-0
DS03,13,10,0.001,HPT_eff_mod,-0.0264109517488553,-0
DS03,13,11,0.001,HPT_eff_mod,-0.00201793368174461,-0
DS03,13,12,0.001,HPT_eff_mod,-0.0368909386598398,-0
DS03,13,13,0.001,HPT_eff_mod,-0.0216615986774675,-0
DS03,13,14,0.001,HPT_eff_mod,-0.0280196252328129,-0
DS03,13,15,0.001,HPT_eff_mod,-0.0173712607138065,-0
DS03,13,16,0.001,HPT_eff_mod,-0.0101535361162588,-0
DS03,13,17,0.001,HPT_eff_mod,-0.0195849047586641,-0
DS03,13,18,0.001,HPT_eff_mod,-0.0253166411398631,-0
DS03,13,19,0.001,HPT_eff_mod,-0.0511151518156348,-0
DS03,13,20,0.001,HPT_eff_mod,-0.0295718399907249,-0
DS03,13,21,0.001,HPT_eff_mod,-0.0346271565355132,-0
DS03,13,22,0.001,HPT_eff_mod,-0.0448556074114059,-0
DS03,13,23,0.001,HPT_eff_mod,-0.0389581368487327,-0
DS03,13,24,0.001,HPT_eff_mod,-0.0332577138983749,-0
DS03,13,25,0.001,HPT_eff_mod,-0.031921526358989,-0
DS03,13,26,0.001,HPT_eff_mod,-0.0440119796655307,-0
DS03,13,27,0.001,HPT_eff_mod,-0.0396521475450058,-0
DS03,13,28,0.001,HPT_eff_mod,-0.0459285235905328,-0
DS03,13,29,0.001,HPT_eff_mod,-0.0547449423535588,-0
DS03,13,30,0.001,HPT_eff_mod,-0.0627844151037848,-0
DS03,13,31,0.001,HPT_eff_mod,-0.0713971585523208,-0
DS03,13,32,0.001,HPT_eff_mod,-0.0747140657696638,-0
DS03,13,33,0.001,HPT_eff_mod,-0.0794564364144498,-0
DS03,13,34,0.001,HPT_eff_mod,-0.0912502248417318,-0
DS03,13,35,0.001,HPT_eff_mod,-0.0884838048304898,-0
DS03,13,36,0.001,HPT_eff_mod,-0.0799782215997678,-0
DS03,13,37,0.001,HPT_eff_mod,-0.10200397629909,-0
DS03,13,38,0.001,HPT_eff_mod,-0.0868820593697818,-0
DS03,13,39,0.001,HPT_eff_mod,-0.0988862272228348,-0
DS03,13,40,0.001,HPT_eff_mod,-0.112274967663985,-0
DS03,13,41,0.001,HPT_eff_mod,-0.124435665574638,-0
DS03,13,42,0.001,HPT_eff_mod,-0.130228009576055,-0
DS03,13,43,0.001,HPT_eff_mod,-0.146050305891147,-0
DS03,13,44,0.001,HPT_eff_mod,-0.136021279798243,-0
DS03,13,45,0.001,HPT_eff_mod,-0.145653347521193,-0
DS03,13,46,0.001,HPT_eff_mod,-0.15102611535789,-0
DS03,13,47,0.001,HPT_eff_mod,-0.182001093708427,-0
DS03,13,48,0.001,HPT_eff_mod,-0.196191548796437,-0
DS03,13,49,0.001,HPT_eff_mod,-0.200992004579555,-0
DS03,13,50,0.001,HPT_eff_mod,-0.213736251819076,-0
DS03,13,51,0.001,HPT_eff_mod,-0.218596211755826,-0
DS03,13,52,0.001,HPT_eff_mod,-0.212043587201828,-0
DS03,13,53,0.001,HPT_eff_mod,-0.236419323756178,-0
DS03,13,54,0.001,HPT_eff_mod,-0.235633714006939,-0
DS03,13,55,0.001,HPT_eff_mod,-0.28343626863485,-0
DS03,13,56,0.001,HPT_eff_mod,-0.266157127866053,-0
DS03,13,57,0.001,HPT_eff_mod,-0.297762199437852,-0
DS03,13,58,0.001,HPT_eff_mod,-0.299192857005582,-0
DS03,13,59,0.001,HPT_eff_mod,-0.317472278285324,-0
DS03,13,60,0.001,HPT_eff_mod,-0.35178747334213,-0
DS03,13,61,0.001,HPT_eff_mod,-0.351092361285627,-0
DS03,13,62,0.001,HPT_eff_mod,-0.384080568990584,-0
DS03,13,63,0.001,HPT_eff_mod,-0.381294700052302,-0
DS03,13,64,0.001,HPT_eff_mod,-0.412340212621182,-0
DS03,13,65,0.001,HPT_eff_mod,-0.435080148910285,-0
DS03,13,66,0.001,HPT_eff_mod,-0.448347523216163,-0
DS03,13,67,0.001,HPT_eff_mod,-0.480000299736894,-0
DS03,13,68,0.001,HPT_eff_mod,-0.494377228150388,-0
DS03,13,69,0.001,HPT_eff_mod,-0.522106162650535,-0
DS03,13,70,0.001,HPT_eff_mod,-0.571388800884504,-0
DS03,13,71,0.001,HPT_eff_mod,-0.573192546761304,-0
DS03,13,72,0.001,HPT_eff_mod,-0.615041347728424,-0
DS03,13,73,0.001,HPT_eff_mod,-0.639326176648454,-0
DS03,13,74,0.001,HPT_eff_mod,-0.660054316297046,-0
DS03,13,75,0.001,HPT_eff_mod,-0.692467768233991,-0
DS03,13,76,0.001,HPT_eff_mod,-0.73424342047023,-0
DS03,13,77,0.001,HPT_eff_mod,-0.774981116563406,-0
DS03,13,1,0.001,fan_eff_mod,0,-0
DS03,13,2,0.001,fan_eff_mod,0,-0
DS03,13,3,0.001,fan_eff_mod,0,-0
DS03,13,4,0.001,fan_eff_mod,0,-0
DS03,13,5,0.001,fan_eff_mod,0,-0
DS03,13,6,0.001,fan_eff_mod,0,-0
DS03,13,7,0.001,fan_eff_mod,0,-0
DS03,13,8,0.001,fan_eff_mod,0,-0
DS03,13,9,0.001,fan_eff_mod,0,-0
DS03,13,10,0.001,fan_eff_mod,0,-0
DS03,13,11,0.001,fan_eff_mod,0,-0
DS03,13,12,0.001,fan_eff_mod,0,-0
DS03,13,13,0.001,fan_eff_mod,0,-0
DS03,13,14,0.001,fan_eff_mod,0,-0
DS03,13,15,0.001,fan_eff_mod,0,-0
DS03,13,16,0.001,fan_eff_mod,0,-0
DS03,13,17,0.001,fan_eff_mod,0,-0
DS03,13,18,0.001,fan_eff_mod,0,-0
DS03,13,19,0.001,fan_eff_mod,0,-0
DS03,13,20,0.001,fan_eff_mod,0,-0
