subset,unit,cycle,arm,parameter,is_fault,theta_pct
DS03,13,1,truth,HPT_eff_mod,1,-0.01470474
DS03,13,2,truth,HPT_eff_mod,1,0.009006374
DS03,13,3,truth,HPT_eff_mod,1,0.005698368
DS03,13,4,truth,HPT_eff_mod,1,0.00604821
DS03,13,5,truth,HPT_eff_mod,1,-0.01830394
DS03,13,6,truth,HPT_eff_mod,1,0.006981332
DS03,13,7,truth,HPT_eff_mod,1,-0.02416013
DS03,13,8,truth,HPT_eff_mod,1,-0.02092209
DS03,13,9,truth,HPT_eff_mod,1,0.0009970836
DS03,13,10,truth,HPT_eff_mod,1,-0.02641095
DS03,13,11,truth,HPT_eff_mod,1,-0.002017934
DS03,13,12,truth,HPT_eff_mod,1,-0.03689094
DS03,13,13,truth,HPT_eff_mod,1,-0.0216616
DS03,13,14,truth,HPT_eff_mod,1,-0.02801963
DS03,13,15,truth,HPT_eff_mod,1,-0.01737126
DS03,13,16,truth,HPT_eff_mod,1,-0.01015354
DS03,13,17,truth,HPT_eff_mod,1,-0.01958491
DS03,13,18,truth,HPT_eff_mod,1,-0.02531664
DS03,13,19,truth,HPT_eff_mod,1,-0.05111515
DS03,13,20,truth,HPT_eff_mod,1,-0.02957184
DS03,13,21,truth,HPT_eff_mod,1,-0.03462716
DS03,13,22,truth,HPT_eff_mod,1,-0.04485561
DS03,13,23,truth,HPT_eff_mod,1,-0.03895814
DS03,13,24,truth,HPT_eff_mod,1,-0.03325772
DS03,13,25,truth,HPT_eff_mod,1,-0.03192152
DS03,13,26,truth,HPT_eff_mod,1,-0.04401198
DS03,13,27,truth,HPT_eff_mod,1,-0.03965215
DS03,13,28,truth,HPT_eff_mod,1,-0.04592852
DS03,13,29,truth,HPT_eff_mod,1,-0.05474494
DS03,13,30,truth,HPT_eff_mod,1,-0.06278442
DS03,13,31,truth,HPT_eff_mod,1,-0.07139716
DS03,13,32,truth,HPT_eff_mod,1,-0.07471406
DS03,13,33,truth,HPT_eff_mod,1,-0.07945643
DS03,13,34,truth,HPT_eff_mod,1,-0.09125023
DS03,13,35,truth,HPT_eff_mod,1,-0.0884838
DS03,13,36,truth,HPT_eff_mod,1,-0.07997822
DS03,13,37,truth,HPT_eff_mod,1,-0.102004
DS03,13,38,truth,HPT_eff_mod,1,-0.08688206
DS03,13,39,truth,HPT_eff_mod,1,-0.09888623
DS03,13,40,truth,HPT_eff_mod,1,-0.112275
DS03,13,41,truth,HPT_eff_mod,1,-0.1244357
DS03,13,42,truth,HPT_eff_mod,1,-0.130228
DS03,13,43,truth,HPT_eff_mod,1,-0.1460503
DS03,13,44,truth,HPT_eff_mod,1,-0.1360213
DS03,13,45,truth,HPT_eff_mod,1,-0.1456534
DS03,13,46,truth,HPT_eff_mod,1,-0.1510261
DS03,13,47,truth,HPT_eff_mod,1,-0.1820011
DS03,13,48,truth,HPT_eff_mod,1,-0.1961915
DS03,13,49,truth,HPT_eff_mod,1,-0.200992
DS03,13,50,truth,HPT_eff_mod,1,-0.2137363
DS03,13,51,truth,HPT_eff_mod,1,-0.2185962
DS03,13,52,truth,HPT_eff_mod,1,-0.2120436
DS03,13,53,truth,HPT_eff_mod,1,-0.2364193
DS03,13,54,truth,HPT_eff_mod,1,-0.2356337
DS03,13,55,truth,HPT_eff_mod,1,-0.2834363
DS03,13,56,truth,HPT_eff_mod,1,-0.2661571
DS03,13,57,truth,HPT_eff_mod,1,-0.2977622
DS03,13,58,truth,HPT_eff_mod,1,-0.2991928
DS03,13,59,truth,HPT_eff_mod,1,-0.3174723
DS03,13,60,truth,HPT_eff_mod,1,-0.3517875
DS03,13,61,truth,HPT_eff_mod,1,-0.3510924
DS03,13,62,truth,HPT_eff_mod,1,-0.3840806
DS03,13,63,truth,HPT_eff_mod,1,-0.3812947
DS03,13,64,truth,HPT_eff_mod,1,-0.4123402
DS03,13,65,truth,HPT_eff_mod,1,-0.4350801
DS03,13,66,truth,HPT_eff_mod,1,-0.4483475
DS03,13,67,truth,HPT_eff_mod,1,-0.4800003
DS03,13,68,truth,HPT_eff_mod,1,-0.4943772
DS03,13,69,truth,HPT_eff_mod,1,-0.5221062
DS03,13,70,truth,HPT_eff_mod,1,-0.5713888
DS03,13,71,truth,HPT_eff_mod,1,-0.5731925
DS03,13,72,truth,HPT_eff_mod,1,-0.6150414
DS03,13,73,truth,HPT_eff_mod,1,-0.6393262
DS03,13,74,truth,HPT_eff_mod,1,-0.6600543
DS03,13,75,truth,HPT_eff_mod,1,-0.6924677
DS03,13,76,truth,HPT_eff_mod,1,-0.7342434
DS03,13,77,truth,HPT_eff_mod,1,-0.7749811
DS03,13,1,truth,fan_eff_mod,0,0
DS03,13,2,truth,fan_eff_mod,0,0
DS03,13,3,truth,fan_eff_mod,0,0
DS03,13,4,truth,fan_eff_mod,0,0
DS03,13,5,truth,fan_eff_mod,0,0
DS03,13,6,truth,fan_eff_mod,0,0
DS03,13,7,truth,fan_eff_mod,0,0
DS03,13,8,truth,fan_eff_mod,0,0
DS03,13,9,truth,fan_eff_mod,0,0
DS03,13,10,truth,fan_eff_mod,0,0
DS03,13,11,truth,fan_eff_mod,0,0
DS03,13,12,truth,fan_eff_mod,0,0
DS03,13,13,truth,fan_eff_mod,0,0
DS03,13,14,truth,fan_eff_mod,0,0
DS03,13,15,truth,fan_eff_mod,0,0
DS03,13,16,truth,fan_eff_mod,0,0
DS03,13,17,truth,fan_eff_mod,0,0
DS03,13,18,truth,fan_eff_mod,0,0
DS03,13,19,truth,fan_eff_mod,0,0
DS03,13,20,truth,fan_eff_mod,0,0
DS03,13,21,truth,fan_eff_mod,0,0
DS03,13,22,truth,fan_eff_mod,0,0
DS03,13,23,truth,fan_eff_mod,0,0
DS03,13,24,truth,fan_eff_mod,0,0
DS03,13,25,truth,fan_eff_mod,0,0
DS03,13,26,truth,fan_eff_mod,0,0
DS03,13,27,truth,fan_eff_mod,0,0
DS03,13,28,truth,fan_eff_mod,0,0
DS03,13,29,truth,fan_eff_mod,0,0
DS03,13,30,truth,fan_eff_mod,0,0
DS03,13,31,truth,fan_eff_mod,0,0
DS03,13,32,truth,fan_eff_mod,0,0
DS03,13,33,truth,fan_eff_mod,0,0
DS03,13,34,truth,fan_eff_mod,0,0
DS03,13,35,truth,fan_eff_mod,0,0
DS03,13,36,truth,fan_eff_mod,0,0
DS03,13,37,truth,fan_eff_mod,0,0
DS03,13,38,truth,fan_eff_mod,0,0
DS03,13,39,truth,fan_eff_mod,0,0
DS03,13,40,truth,fan_eff_mod,0,0
DS03,13,41,truth,fan_eff_mod,0,0
DS03,13,42,truth,fan_eff_mod,0,0
DS03,13,43,truth,fan_eff_mod,0,0
DS03,13,44,truth,fan_eff_mod,0,0
DS03,13,45,truth,fan_eff_mod,0,0
DS03,13,46,truth,fan_eff_mod,0,0
DS03,13,47,truth,fan_eff_mod,0,0
DS03,13,48,truth,fan_eff_mod,0,0
DS03,13,49,truth,fan_eff_mod,0,0
DS03,13,50,truth,fan_eff_mod,0,0
DS03,13,51,truth,fan_eff_mod,0,0
DS03,13,52,truth,fan_eff_mod,0,0
DS03,13,53,truth,fan_eff_mod,0,0
DS03,13,54,truth,fan_eff_mod,0,0
DS03,13,55,truth,fan_eff_mod,0,0
DS03,13,56,truth,fan_eff_mod,0,0
DS03,13,57,truth,fan_eff_mod,0,0
DS03,13,58,truth,fan_eff_mod,0,0
DS03,13,59,truth,fan_eff_mod,0,0
DS03,13,60,truth,fan_eff_mod,0,0
DS03,13,61,truth,fan_eff_mod,0,0
DS03,13,62,truth,fan_eff_mod,0,0
DS03,13,63,truth,fan_eff_mod,0,0
DS03,13,64,truth,fan_eff_mod,0,0
