file,subset,unit,role,split_seed
N-CMAPSS_DS01-005.h5,DS01-005,1,calibration,314162
N-CMAPSS_DS01-005.h5,DS01-005,2,train,314162
N-CMAPSS_DS01-005.h5,DS01-005,3,test_id,314162
N-CMAPSS_DS01-005.h5,DS01-005,4,train,314162
N-CMAPSS_DS01-005.h5,DS01-005,5,train,314162
N-CMAPSS_DS01-005.h5,DS01-005,6,train,314162
N-CMAPSS_DS04.h5,DS04,1,train,314162
N-CMAPSS_DS04.h5,DS04,2,train,314162
N-CMAPSS_DS04.h5,DS04,3,train,314162
N-CMAPSS_DS04.h5,DS04,4,test_id,314162
N-CMAPSS_DS04.h5,DS04,5,calibration,314162
N-CMAPSS_DS04.h5,DS04,6,train,314162
N-CMAPSS_DS05.h5,DS05,1,calibration,314162
N-CMAPSS_DS05.h5,DS05,2,train,314162
N-CMAPSS_DS05.h5,DS05,3,train,314162
N-CMAPSS_DS05.h5,DS05,4,train,314162
N-CMAPSS_DS05.h5,DS05,5,test_id,314162
N-CMAPSS_DS05.h5,DS05,6,train,314162
N-CMAPSS_DS06.h5,DS06,1,test_id,314162
N-CMAPSS_DS06.h5,DS06,2,train,314162
N-CMAPSS_DS06.h5,DS06,3,train,314162
N-CMAPSS_DS06.h5,DS06,4,calibration,314162
N-CMAPSS_DS06.h5,DS06,5,train,314162
N-CMAPSS_DS06.h5,DS06,6,train,314162
N-CMAPSS_DS07.h5,DS07,1,train,314162
N-CMAPSS_DS07.h5,DS07,2,test_id,314162
N-CMAPSS_DS07.h5,DS07,3,train,314162
N-CMAPSS_DS07.h5,DS07,4,train,314162
N-CMAPSS_DS07.h5,DS07,5,train,314162
N-CMAPSS_DS07.h5,DS07,6,calibration,314162
