subset,unit,N,arm,arm_skill,D_skill,gap_D_minus_arm,D_win
DS02,11,1,Z_zero,0,0.9311191,0.9311191,1
DS02,11,1,E_Lin,0.8990105,0.9311191,0.0321085999999999,1
DS02,11,1,E_MLP,0.1124455,0.9311191,0.8186736,1
DS02,11,1,E_MixLinear,0.6273711,0.9311191,0.303748,1
DS02,11,1,E_WPMixer,-14.08136,0.9311191,15.0124791,1
DS02,11,10,Z_zero,0,0.9727176,0.9727176,1
DS02,11,10,E_Lin,0.9221165,0.9727176,0.0506011,1
DS02,11,10,E_MLP,0.7434369,0.9727176,0.2292807,1
DS02,11,10,E_MixLinear,0.7600365,0.9727176,0.2126811,1
DS02,11,10,E_WPMixer,-3.715767,0.9727176,4.6884846,1
DS02,11,100,Z_zero,0,0.9790822,0.9790822,1
DS02,11,100,E_Lin,0.9267349,0.9790822,0.0523473,1
DS02,11,100,E_MLP,0.845728,0.9790822,0.1333542,1
DS02,11,100,E_MixLinear,0.7486778,0.9790822,0.2304044,1
DS02,11,100,E_WPMixer,-2.105971,0.9790822,3.0850532,1
DS02,11,1000,Z_zero,0,0.9795998,0.9795998,1
DS02,11,1000,E_Lin,0.9275695,0.9795998,0.0520303,1
DS02,11,1000,E_MLP,0.86066,0.9795998,0.1189398,1
DS02,11,1000,E_MixLinear,0.7446972,0.9795998,0.2349026,1
DS02,11,1000,E_WPMixer,-1.96083,0.9795998,2.9404298,1
DS02,14,1,Z_zero,0,0.8764224,0.8764224,1
DS02,14,1,E_Lin,0.4781361,0.8764224,0.3982863,1
DS02,14,1,E_MLP,-0.3574376,0.8764224,1.23386,1
DS02,14,1,E_MixLinear,0.8620591,0.8764224,0.0143633000000001,1
DS02,14,1,E_WPMixer,-17.87463,0.8764224,18.7510524,1
DS02,14,10,Z_zero,0,0.8618277,0.8618277,1
DS02,14,10,E_Lin,0.5376978,0.8618277,0.3241299,1
DS02,14,10,E_MLP,0.2037866,0.8618277,0.6580411,1
DS02,14,10,E_MixLinear,0.9401484,0.8618277,-0.0783207,0
DS02,14,10,E_WPMixer,-2.647033,0.8618277,3.5088607,1
DS02,14,100,Z_zero,0,0.8614691,0.8614691,1
DS02,14,100,E_Lin,0.5444269,0.8614691,0.3170422,1
DS02,14,100,E_MLP,0.3103985,0.8614691,0.5510706,1
DS02,14,100,E_MixLinear,0.9456966,0.8614691,-0.0842275,0
DS02,14,100,E_WPMixer,-1.388432,0.8614691,2.2499011,1
DS02,14,1000,Z_zero,0,0.8596786,0.8596786,1
DS02,14,1000,E_Lin,0.5449104,0.8596786,0.3147682,1
DS02,14,1000,E_MLP,0.3190596,0.8596786,0.540619,1
DS02,14,1000,E_MixLinear,0.9498979,0.8596786,-0.0902193,0
DS02,14,1000,E_WPMixer,-1.154161,0.8596786,2.0138396,1
DS02,15,1,Z_zero,0,0.9766569,0.9766569,1
DS02,15,1,E_Lin,0.8638494,0.9766569,0.1128075,1
DS02,15,1,E_MLP,-1.011872,0.9766569,1.9885289,1
DS02,15,1,E_MixLinear,0.8800268,0.9766569,0.0966301000000001,1
DS02,15,1,E_WPMixer,-23.17366,0.9766569,24.1503169,1
DS02,15,10,Z_zero,0,0.9898462,0.9898462,1
DS02,15,10,E_Lin,0.9158775,0.9898462,0.0739687,1
DS02,15,10,E_MLP,-0.3543619,0.9898462,1.3442081,1
DS02,15,10,E_MixLinear,0.9607765,0.9898462,0.0290697,1
DS02,15,10,E_WPMixer,-6.655494,0.9898462,7.6453402,1
DS02,15,100,Z_zero,0,0.9899752,0.9899752,1
DS02,15,100,E_Lin,0.9201292,0.9899752,0.0698460000000001,1
DS02,15,100,E_MLP,-0.1537445,0.9899752,1.1437197,1
DS02,15,100,E_MixLinear,0.9642898,0.9899752,0.0256854000000001,1
DS02,15,100,E_WPMixer,-4.300355,0.9899752,5.2903302,1
DS02,15,1000,Z_zero,0,0.9904062,0.9904062,1
DS02,15,1000,E_Lin,0.9212335,0.9904062,0.0691727,1
DS02,15,1000,E_MLP,-0.136372,0.9904062,1.1267782,1
DS02,15,1000,E_MixLinear,0.9652857,0.9904062,0.0251205,1
DS02,15,1000,E_WPMixer,-4.450189,0.9904062,5.4405952,1
DS03,10,1,Z_zero,0,0.9556192,0.9556192,1
DS03,10,1,E_Lin,0.8464432,0.9556192,0.109176,1
DS03,10,1,E_MLP,-0.2606002,0.9556192,1.2162194,1
DS03,10,1,E_MixLinear,0.8691341,0.9556192,0.0864851,1
DS03,10,1,E_WPMixer,-16.62884,0.9556192,17.5844592,1
DS03,10,10,Z_zero,0,0.9801766,0.9801766,1
DS03,10,10,E_Lin,0.928292,0.9801766,0.0518845999999999,1
DS03,10,10,E_MLP,0.4049963,0.9801766,0.5751803,1
DS03,10,10,E_MixLinear,0.9111342,0.9801766,0.0690423999999999,1
DS03,10,10,E_WPMixer,-6.021427,0.9801766,7.0016036,1
DS03,10,100,Z_zero,0,0.9827443,0.9827443,1
DS03,10,100,E_Lin,0.9335149,0.9827443,0.0492294,1
DS03,10,100,E_MLP,0.4558404,0.9827443,0.5269039,1
DS03,10,100,E_MixLinear,0.9464878,0.9827443,0.0362565,1
DS03,10,100,E_WPMixer,-4.430481,0.9827443,5.4132253,1
DS03,10,1000,Z_zero,0,0.9835724,0.9835724,1
DS03,10,1000,E_Lin,0.93493,0.9835724,0.0486424,1
DS03,10,1000,E_MLP,0.4585738,0.9835724,0.5249986,1
DS03,10,1000,E_MixLinear,0.9436426,0.9835724,0.0399298,1
DS03,10,1000,E_WPMixer,-4.37995,0.9835724,5.3635224,1
DS03,11,1,Z_zero,0,0.9329627,0.9329627,1
DS03,11,1,E_Lin,0.8456415,0.9329627,0.0873212,1
DS03,11,1,E_MLP,0.1372898,0.9329627,0.7956729,1
DS03,11,1,E_MixLinear,0.6634307,0.9329627,0.269532,1
DS03,11,1,E_WPMixer,-21.80803,0.9329627,22.7409927,1
DS03,11,10,Z_zero,0,0.9739579,0.9739579,1
DS03,11,10,E_Lin,0.9231418,0.9739579,0.0508161,1
DS03,11,10,E_MLP,0.728108,0.9739579,0.2458499,1
DS03,11,10,E_MixLinear,0.7351074,0.9739579,0.2388505,1
DS03,11,10,E_WPMixer,-3.502603,0.9739579,4.4765609,1
DS03,11,100,Z_zero,0,0.9794036,0.9794036,1
DS03,11,100,E_Lin,0.9334732,0.9794036,0.0459304,1
DS03,11,100,E_MLP,0.838658,0.9794036,0.1407456,1
DS03,11,100,E_MixLinear,0.7924061,0.9794036,0.1869975,1
DS03,11,100,E_WPMixer,-1.220754,0.9794036,2.2001576,1
