subset,arm,n_pairs,D_win_rate,median_gap,q25_gap,q75_gap,mean_gap,median_ci_low,median_ci_high
DS02,Z_zero,12,1,0.97468725,0.86912505,0.984723,0.93906675,0.86912505,0.984723
DS02,E_Lin,12,1,0.07190735,0.0521888,0.3159052,0.1555924,0.0521888,0.3159052
DS02,E_MLP,12,1,0.73835735,0.38494985,1.18878985,0.823922825,0.38494985,1.18878985
DS02,E_MixLinear,12,0.75,0.02737755,-0.0319787,0.22154275,0.0766531333333334,-0.0319787,0.22154275
DS02,E_WPMixer,12,1,4.9894074,3.0127415,11.32890965,7.89805691666667,3.0127415,11.32890965
DS03,Z_zero,24,1,0.9719018,0.9365698,0.98315835,0.949482479166667,0.946605,0.98170285
DS03,E_Lin,24,0.833333333333333,0.05253675,0.04762225,0.0860484,0.0899885833333334,0.0492294,0.0828863000000001
DS03,E_MLP,24,1,0.5983903,0.47631535,1.0180607885,0.701681351958333,0.4923001,0.90686684425
DS03,E_MixLinear,24,0.875,0.1403396,0.0298423,0.2385424,0.129497175,0.0399298,0.20399265
DS03,E_WPMixer,24,1,5.38837385,2.8270124,14.0490807,9.05704795416667,3.5897959,9.81519485
ALL_OOD,Z_zero,36,1,0.97333775,0.91467695,0.98315835,0.946010569444444,0.943579,0.9801766
ALL_OOD,E_Lin,36,0.888888888888889,0.0608373,0.04991525,0.11099175,0.111856522222222,0.0518729,0.0833586250000001
ALL_OOD,E_MLP,36,1,0.60172005,0.47631535,1.1155911,0.742428509638889,0.5269039,0.96486347
ALL_OOD,E_MixLinear,36,0.833333333333333,0.0915576,0.0188957000000001,0.2326535,0.111882494444445,0.0298791,0.1957523
ALL_OOD,E_WPMixer,36,1,5.3269263,3.0127415,12.76309065,8.67071760833333,3.5897959,7.6453402
