regime,subset,unit,arm,component,parameter,terminal_abs,is_fault
in_dist,DS05_id,5,truth,1,HPT_eff_mod,NaN,0
in_dist,DS05_id,5,Z_zero,1,HPT_eff_mod,0,0
in_dist,DS05_id,5,truth,2,fan_eff_mod,NaN,0
in_dist,DS05_id,5,Z_zero,2,fan_eff_mod,0,0
in_dist,DS05_id,5,truth,3,fan_flow_mod,NaN,0
in_dist,DS05_id,5,Z_zero,3,fan_flow_mod,0,0
in_dist,DS05_id,5,truth,4,HPC_eff_mod,0.287014554551907,1
in_dist,DS05_id,5,Z_zero,4,HPC_eff_mod,0,1
in_dist,DS05_id,5,truth,5,HPC_flow_mod,0.741306348517826,1
in_dist,DS05_id,5,Z_zero,5,HPC_flow_mod,0,1
in_dist,DS05_id,5,truth,6,LPT_eff_mod,NaN,0
in_dist,DS05_id,5,Z_zero,6,LPT_eff_mod,0,0
in_dist,DS05_id,5,truth,7,LPT_flow_mod,NaN,0
in_dist,DS05_id,5,Z_zero,7,LPT_flow_mod,0,0
in_dist,DS05_id,5,truth,8,LPC_eff_mod,NaN,0
in_dist,DS05_id,5,Z_zero,8,LPC_eff_mod,0,0
in_dist,DS05_id,5,truth,9,LPC_flow_mod,NaN,0
in_dist,DS05_id,5,Z_zero,9,LPC_flow_mod,0,0
in_dist,DS05_id,6,truth,1,HPT_eff_mod,NaN,0
in_dist,DS05_id,6,Z_zero,1,HPT_eff_mod,0,0
in_dist,DS05_id,6,truth,2,fan_eff_mod,NaN,0
in_dist,DS05_id,6,Z_zero,2,fan_eff_mod,0,0
in_dist,DS05_id,6,truth,3,fan_flow_mod,NaN,0
in_dist,DS05_id,6,Z_zero,3,fan_flow_mod,0,0
in_dist,DS05_id,6,truth,4,HPC_eff_mod,0.440552116158252,1
in_dist,DS05_id,6,Z_zero,4,HPC_eff_mod,0,1
in_dist,DS05_id,6,truth,5,HPC_flow_mod,0.597410890790276,1
in_dist,DS05_id,6,Z_zero,5,HPC_flow_mod,0,1
in_dist,DS05_id,6,truth,6,LPT_eff_mod,NaN,0
in_dist,DS05_id,6,Z_zero,6,LPT_eff_mod,0,0
in_dist,DS05_id,6,truth,7,LPT_flow_mod,NaN,0
in_dist,DS05_id,6,Z_zero,7,LPT_flow_mod,0,0
in_dist,DS05_id,6,truth,8,LPC_eff_mod,NaN,0
in_dist,DS05_id,6,Z_zero,8,LPC_eff_mod,0,0
in_dist,DS05_id,6,truth,9,LPC_flow_mod,NaN,0
in_dist,DS05_id,6,Z_zero,9,LPC_flow_mod,0,0
in_dist,DS07_id,5,truth,1,HPT_eff_mod,NaN,0
in_dist,DS07_id,5,Z_zero,1,HPT_eff_mod,0,0
in_dist,DS07_id,5,truth,2,fan_eff_mod,NaN,0
in_dist,DS07_id,5,Z_zero,2,fan_eff_mod,0,0
in_dist,DS07_id,5,truth,3,fan_flow_mod,NaN,0
in_dist,DS07_id,5,Z_zero,3,fan_flow_mod,0,0
