regime,subset,arm,n_units,median,q25,q75,q90,mean
in_dist,DS05_id,truth,2,0.46475024939806,0.429742517622223,0.499757981173897,0.499757981173897,0.46475024939806
in_dist,DS05_id,Z_zero,2,0,0,0,0,0
in_dist,DS07_id,truth,2,0.425169657703107,0.295825099431401,0.554514215974813,0.554514215974813,0.425169657703107
in_dist,DS07_id,Z_zero,2,0,0,0,0,0
ood_combo,DS02,truth,3,0.282284303116589,0.281231911907829,0.287869644206808,0.289731424570214,0.284298947508348
ood_combo,DS02,Z_zero,3,0,0,0,0,0
ood_combo,DS03,truth,6,0.286007863843401,0.280881114838242,0.342407012707295,0.347461840024466,0.289644622460508
ood_combo,DS03,Z_zero,6,0,0,0,0,0
in_dist,ALL_IN,truth,4,0.46475024939806,0.362783808526812,0.527136098574355,0.554514215974813,0.444959953550583
in_dist,ALL_IN,Z_zero,4,0,0,0,0,0
ood_combo,ALL_OOD,truth,9,0.282284303116589,0.280881114838242,0.302900321604484,0.345776897585409,0.287862730809788
ood_combo,ALL_OOD,Z_zero,9,0,0,0,0,0
