quantile,subset,N,lambda,GroupCount,mean_gap,mean_H0_skill,mean_MoE_skill,mean_Z_zero_skill
0.75,DS02,1,0.001,3,0.339273350896295,-0.615739533630854,-0.27646618273456,0
0.75,DS02,1,0.00316227766016838,3,0.339448777109442,-0.615722536810116,-0.276273759700674,0
0.75,DS02,1,0.01,3,0.340001538430032,-0.615668791659255,-0.275667253229225,0
0.75,DS02,1,0.0316227766016838,3,0.34172985863293,-0.615498869717346,-0.273769011084416,0
0.75,DS02,1,0.1,3,0.385187893000672,-0.604361849745708,-0.219173956745039,0
0.75,DS02,1,0.316227766016838,3,0.132787112661849,-0.147295327714989,-0.0145082150531403,0
0.75,DS02,1,1,3,0.0443110279480213,0.502012762850679,0.5463237907987,0
0.75,DS02,1,3.16227766016838,3,0.000557669219942337,0.78322921432906,0.783786883549002,0
0.75,DS02,1,10,3,-0.00182537244444313,0.917333140420381,0.915507767975938,0
0.75,DS02,1,31.6227766016838,3,-0.000381791768532111,0.939413698062084,0.939031906293552,0
0.75,DS02,1,100,3,-0.00317451643363698,0.929805337045123,0.926630820611486,0
0.75,DS02,1,316.227766016838,3,-0.00408136256633584,0.862631555287546,0.858550192721211,0
0.75,DS02,1,1000,3,-0.00383082491776213,0.708992956101337,0.705162131183575,0
0.75,DS02,10,0.001,3,0.320204003235875,-0.630394897180221,-0.310190893944345,0
0.75,DS02,10,0.00316227766016838,3,0.319915035429887,-0.627924316573568,-0.308009281143681,0
0.75,DS02,10,0.01,3,0.322493326611832,-0.624867252784108,-0.302373926172276,0
0.75,DS02,10,0.0316227766016838,3,0.32297764622365,-0.608510189645788,-0.28553254342214,0
0.75,DS02,10,0.1,3,0.449506002631262,-0.581668639192615,-0.132162636561352,0
0.75,DS02,10,0.316227766016838,3,0.11006072698286,0.27972931054421,0.38979003752707,0
0.75,DS02,10,1,3,0.0231658221533902,0.727740805886472,0.750906628039863,0
0.75,DS02,10,3.16227766016838,3,0.004192751561216,0.891082353745967,0.895275105307183,0
0.75,DS02,10,10,3,0.00349466180552967,0.934654282960695,0.938148944766225,0
0.75,DS02,10,31.6227766016838,3,0.00162642096297143,0.94186856763551,0.943494988598482,0
0.75,DS02,10,100,3,-0.00337490878733807,0.933043777806778,0.929668869019439,0
0.75,DS02,10,316.227766016838,3,-0.00427479752599931,0.865987431335114,0.861712633809115,0
0.75,DS02,10,1000,3,-0.00391072967064747,0.711652237773907,0.707741508103259,0
0.75,DS02,100,0.001,3,0.322363472566788,-0.61659905268134,-0.29423558011455,0
0.75,DS02,100,0.00316227766016838,3,0.329444528962771,-0.616557384779345,-0.287112855816573,0
0.75,DS02,100,0.01,3,0.350923802606352,-0.616425708777112,-0.265501906170762,0
0.75,DS02,100,0.0316227766016838,3,0.407564990648919,-0.616010204329855,-0.208445213680937,0
0.75,DS02,100,0.1,3,0.465353035022127,-0.54845466651691,-0.083101631494782,0
0.75,DS02,100,0.316227766016838,3,0.0741816512901557,0.304753082704735,0.378934733994891,0
0.75,DS02,100,1,3,0.0020371605619018,0.795411890742146,0.797449051304048,0
0.75,DS02,100,3.16227766016838,3,0.0012760757061821,0.910117166140709,0.911393241846891,0
0.75,DS02,100,10,3,0.00464823460408677,0.936898113376222,0.941546347980309,0
0.75,DS02,100,31.6227766016838,3,0.00217106011658456,0.941181399284204,0.943352459400789,0
0.75,DS02,100,100,3,-0.00338803291406131,0.93257261660725,0.929184583693189,0
0.75,DS02,100,316.227766016838,3,-0.00444932793735238,0.866042542241215,0.861593214303862,0
0.75,DS02,100,1000,3,-0.00393864838099271,0.711712093267086,0.707773444886093,0
0.75,DS02,1000,0.001,3,0.306036165004087,-0.628717877485135,-0.322681712481047,0
