quantile,subset,unit,N,component,mean_gain,mean_abs_gain_minus1
0.75,DS02,11,1,1,1.07335828825579,0.0738155649880231
0.75,DS02,11,1,2,1.14108877868976,0.148022136445773
0.75,DS02,11,1,3,1.17014673503779,0.180403318445561
0.75,DS02,11,1,4,1.1363903789197,0.136390378919698
0.75,DS02,11,1,5,1.07979704767971,0.0797970476797072
0.75,DS02,11,1,6,1.21112361398794,0.211123613987939
0.75,DS02,11,1,7,1.11439711966757,0.114508291422311
0.75,DS02,11,1,8,1.31884994143147,0.318849941431466
0.75,DS02,11,1,9,1.04166553384167,0.0416655338416665
0.75,DS02,11,10,1,1.07445647958982,0.0744564795898179
0.75,DS02,11,10,2,1.14189133502669,0.145070103265471
0.75,DS02,11,10,3,1.17083544044171,0.17766123504962
0.75,DS02,11,10,4,1.1378044132459,0.137804413245896
0.75,DS02,11,10,5,1.08075904846191,0.0807590484619141
0.75,DS02,11,10,6,1.21319896083767,0.213198960837671
0.75,DS02,11,10,7,1.11593286263741,0.115932862637407
0.75,DS02,11,10,8,1.3203743554778,0.320374355477802
0.75,DS02,11,10,9,1.04205254578994,0.0420525457899449
0.75,DS02,11,100,1,1.07452627359811,0.0745262735981052
0.75,DS02,11,100,2,1.14239407797991,0.147862135353735
0.75,DS02,11,100,3,1.17154711686959,0.180872384774483
0.75,DS02,11,100,4,1.13788557254662,0.137885572546619
0.75,DS02,11,100,5,1.0807221259101,0.0807221259100963
0.75,DS02,11,100,6,1.21340455443172,0.213404554431721
0.75,DS02,11,100,7,1.1160346592887,0.116034659288697
0.75,DS02,11,100,8,1.32034721010822,0.320347210108224
0.75,DS02,11,100,9,1.04177992626772,0.0417799262677209
0.75,DS02,11,1000,1,1.07447062710584,0.0744706271058422
0.75,DS02,11,1000,2,1.14189368789479,0.147208591638985
0.75,DS02,11,1000,3,1.1708504335355,0.180105376041542
0.75,DS02,11,1000,4,1.13779322979814,0.137793229798139
0.75,DS02,11,1000,5,1.08071662611881,0.0807166261188055
0.75,DS02,11,1000,6,1.21318458702605,0.213184587026047
0.75,DS02,11,1000,7,1.11595101073637,0.115951010736368
0.75,DS02,11,1000,8,1.32027816368362,0.320278163683617
0.75,DS02,11,1000,9,1.04195573976484,0.041955739764844
0.75,DS02,14,1,1,1.01656744746785,0.0391927416387357
0.75,DS02,14,1,2,0.934324615095791,0.0925008380099347
0.75,DS02,14,1,3,0.899092331528664,0.123810270114949
0.75,DS02,14,1,4,1.05180550562708,0.0627181279031854
0.75,DS02,14,1,5,1.03789448345962,0.0434900404591309
0.75,DS02,14,1,6,1.05712141488728,0.0939616404081646
0.75,DS02,14,1,7,1.03267998522834,0.0574826966775091
0.75,DS02,14,1,8,1.22688493132591,0.226884931325912
0.75,DS02,14,1,9,1.07728625441852,0.0772862544185237
0.75,DS02,14,10,1,1.01740658047952,0.0286256631738261
0.75,DS02,14,10,2,0.936139626722587,0.0716886873307981
0.75,DS02,14,10,3,0.901400350426373,0.100568491377329
0.75,DS02,14,10,4,1.05285484853544,0.0552160457560891
0.75,DS02,14,10,5,1.03835349804477,0.0395515231709731
0.75,DS02,14,10,6,1.05889262102152,0.0722744864852805
0.75,DS02,14,10,7,1.03386420403656,0.0441936779963343
0.75,DS02,14,10,8,1.22768817920434,0.227688179204338
0.75,DS02,14,10,9,1.07676267310193,0.0767626731019271
0.75,DS02,14,100,1,1.01763698380244,0.0275579777203108
0.75,DS02,14,100,2,0.936447971745541,0.0719034201220462
0.75,DS02,14,100,3,0.901708827206963,0.100890227054295
0.75,DS02,14,100,4,1.05321940858113,0.0533829401982458
0.75,DS02,14,100,5,1.03865999453946,0.0386816498480345
0.75,DS02,14,100,6,1.05944585878598,0.0676667713805249
0.75,DS02,14,100,7,1.03419139902843,0.0421640457291352
0.75,DS02,14,100,8,1.22825146191999,0.228251461919985
0.75,DS02,14,100,9,1.07700755251081,0.0770075525108137
0.75,DS02,14,1000,1,1.01790579290766,0.0271709475078081
0.75,DS02,14,1000,2,0.937126536118357,0.0710442411272149
0.75,DS02,14,1000,3,0.902546041890194,0.0994763719408136
0.75,DS02,14,1000,4,1.05362893562568,0.0536399185657501
0.75,DS02,14,1000,5,1.038929884371,0.0389298843710046
0.75,DS02,14,1000,6,1.06013034440969,0.0661996642225667
0.75,DS02,14,1000,7,1.03457558939331,0.041400681985052
0.75,DS02,14,1000,8,1.22878255185328,0.22878255185328
0.75,DS02,14,1000,9,1.07704853384118,0.0770485338411833
0.75,DS02,15,1,1,1.06624281762251,0.0686640792818212
0.75,DS02,15,1,2,1.10772749915052,0.134185125578695
0.75,DS02,15,1,3,1.12536131712928,0.162966494239978
0.75,DS02,15,1,4,1.1256091923856,0.126340715742823
0.75,DS02,15,1,5,1.0755393611851,0.0758060341450705
0.75,DS02,15,1,6,1.1901714623864,0.193025240257605
0.75,DS02,15,1,7,1.10407211620416,0.106147498337191
0.75,DS02,15,1,8,1.30806752461106,0.30806752461106
0.75,DS02,15,1,9,1.04984753701224,0.0498475370122426
0.75,DS02,15,10,1,1.06565892162608,0.0663035556451598
0.75,DS02,15,10,2,1.10329138520938,0.122060656547546
0.75,DS02,15,10,3,1.11917380699471,0.148220198367959
0.75,DS02,15,10,4,1.12475893034864,0.124758930348638
0.75,DS02,15,10,5,1.07556189174083,0.0755618917408274
0.75,DS02,15,10,6,1.18817720484378,0.188377561853893
0.75,DS02,15,10,7,1.10320910677981,0.103563071186863
0.75,DS02,15,10,8,1.30765571345144,0.307655713451442
0.75,DS02,15,10,9,1.05164239833604,0.0516423983360404
0.75,DS02,15,100,1,1.06634943965656,0.0663864532513405
0.75,DS02,15,100,2,1.10640097376126,0.12229354701825
0.75,DS02,15,100,3,1.12331595527592,0.148122629122948
0.75,DS02,15,100,4,1.12583205059393,0.125832050593931
0.75,DS02,15,100,5,1.07604956804816,0.076049568048164
0.75,DS02,15,100,6,1.19022248752082,0.190222487520816
0.75,DS02,15,100,7,1.10421117561967,0.104211175619666
0.75,DS02,15,100,8,1.3088347182345,0.308834718234503
0.75,DS02,15,100,9,1.05102102080388,0.0510210208038786
0.75,DS02,15,1000,1,1.06625981473211,0.0662598147321103
0.75,DS02,15,1000,2,1.10578234515973,0.121580287591735
0.75,DS02,15,1000,3,1.12246746358587,0.147239134382846
0.75,DS02,15,1000,4,1.12568528438682,0.12568528438682
0.75,DS02,15,1000,5,1.07601070937826,0.0760107093782567
0.75,DS02,15,1000,6,1.18990629644536,0.189906296445363
0.75,DS02,15,1000,7,1.1040785081351,0.104078508135098
0.75,DS02,15,1000,8,1.30869431104233,0.30869431104233
0.75,DS02,15,1000,9,1.05120101793488,0.0512010179348846
0.75,DS03,10,1,1,1.07354640689763,0.0742260389255755
0.75,DS03,10,1,2,1.14205527486223,0.153921197761189
0.75,DS03,10,1,3,1.17149052565748,0.1917129565369
0.75,DS03,10,1,4,1.13661657499545,0.136616574995445
0.75,DS03,10,1,5,1.0797817996054,0.0797817996053985
0.75,DS03,10,1,6,1.21161435950886,0.211614359508861
0.75,DS03,10,1,7,1.11466792135528,0.115050756570065
0.75,DS03,10,1,8,1.31888332150199,0.318883321501992
0.75,DS03,10,1,9,1.04118630019101,0.0411863001910123
0.75,DS03,10,10,1,1.07110195087664,0.0711019508766405
0.75,DS03,10,10,2,1.12684059775237,0.13688266006383
0.75,DS03,10,10,3,1.15072747342514,0.170148528886564
0.75,DS03,10,10,4,1.13270123257782,0.132701232577815
0.75,DS03,10,10,5,1.07859060619817,0.0785906061981664
0.75,DS03,10,10,6,1.2034217227589,0.2034217227589
0.75,DS03,10,10,7,1.11107112602754,0.111071126027541
0.75,DS03,10,10,8,1.31507557088679,0.315075570886785
0.75,DS03,10,10,9,1.04543754006877,0.0454375400687709
0.75,DS03,10,100,1,1.07153414776831,0.0715341477683096
0.75,DS03,10,100,2,1.12866182309208,0.136729252157789
0.75,DS03,10,100,3,1.15313872243419,0.168572557694984
0.75,DS03,10,100,4,1.13336938077753,0.133369380777532
0.75,DS03,10,100,5,1.07891161333431,0.078911613334309
0.75,DS03,10,100,6,1.20467347087282,0.204673470872821
0.75,DS03,10,100,7,1.1116968682318,0.111696868231802
0.75,DS03,10,100,8,1.31582407337247,0.315824073372465
0.75,DS03,10,100,9,1.04510933160782,0.0451093316078186
0.75,DS03,10,1000,1,1.0716293129054,0.0716293129053983
0.75,DS03,10,1000,2,1.12957399902922,0.136863065488411
0.75,DS03,10,1000,3,1.15441058982502,0.168633410424897
0.75,DS03,10,1000,4,1.13353108456641,0.133531084566405
0.75,DS03,10,1000,5,1.0789181283026,0.0789181283026031
0.75,DS03,10,1000,6,1.20506537683082,0.205065376830823
0.75,DS03,10,1000,7,1.11184066534042,0.111840665340424
0.75,DS03,10,1000,8,1.31594621051442,0.315946210514415
0.75,DS03,10,1000,9,1.0447894172235,0.0447894172234969
0.75,DS03,11,1,1,1.07440141702102,0.0751199015116287
0.75,DS03,11,1,2,1.14190752829536,0.153249027365345
0.75,DS03,11,1,3,1.17090803586831,0.188579146134651
0.75,DS03,11,1,4,1.1376934415203,0.137693441520303
0.75,DS03,11,1,5,1.0806239600909,0.0806239600908958
0.75,DS03,11,1,6,1.21305162421728,0.213051624217276
0.75,DS03,11,1,7,1.11585437039197,0.116232983136581
0.75,DS03,11,1,8,1.32012669716851,0.320126697168512
0.75,DS03,11,1,9,1.04185470484071,0.0418547048407086
0.75,DS03,11,10,1,1.07176820504463,0.0717682050446333
0.75,DS03,11,10,2,1.12754722267894,0.132026608717644
0.75,DS03,11,10,3,1.15138475470624,0.161540070832786
0.75,DS03,11,10,4,1.13369518821522,0.133695188215223
0.75,DS03,11,10,5,1.07939505577087,0.079395055770874
0.75,DS03,11,10,6,1.20490549782575,0.204905497825752
0.75,DS03,11,10,7,1.11201213982146,0.112012139821457
0.75,DS03,11,10,8,1.3165005061586,0.316500506158602
0.75,DS03,11,10,9,1.0460363141561,0.0460363141560959
0.75,DS03,11,100,1,1.07173575385142,0.0717357538514218
0.75,DS03,11,100,2,1.12504575111098,0.13386184583276
0.75,DS03,11,100,3,1.14783014382346,0.163809476262432
0.75,DS03,11,100,4,1.1334886732748,0.1334886732748
0.75,DS03,11,100,5,1.07949780407598,0.0794978040759846
0.75,DS03,11,100,6,1.20415382466074,0.204153824660738
0.75,DS03,11,100,7,1.11193266157377,0.111932661573766
0.75,DS03,11,100,8,1.31628686088627,0.316286860886267
0.75,DS03,11,100,9,1.04688470040338,0.0468847004033751
0.75,DS03,11,1000,1,1.07183986801212,0.0718398680121212
0.75,DS03,11,1000,2,1.12447525384062,0.133012847375062
0.75,DS03,11,1000,3,1.14696781008931,0.162654178627467
0.75,DS03,11,1000,4,1.13358848983959,0.133588489839586
0.75,DS03,11,1000,5,1.07963999247147,0.0796399924714686
0.75,DS03,11,1000,6,1.20418220051264,0.204182200512644
0.75,DS03,11,1000,7,1.11206982095363,0.112069820953628
0.75,DS03,11,1000,8,1.31642229880317,0.316422298803168
0.75,DS03,11,1000,9,1.04717747639802,0.0471774763980154
0.75,DS03,12,1,1,1.03347160611101,0.0397785030385499
0.75,DS03,12,1,2,0.926324330350404,0.0916331903908842
0.75,DS03,12,1,3,0.879762755927219,0.136073952080101
0.75,DS03,12,1,4,1.07369265440972,0.0760070207298443
0.75,DS03,12,1,5,1.05660130580266,0.0575064978291911
0.75,DS03,12,1,6,1.08537964795225,0.0977910039245441
0.75,DS03,12,1,7,1.05611522031087,0.062468699870571
0.75,DS03,12,1,8,1.25485349598751,0.254853495987513
