quantile,subset,unit,N,lambda,Z_zero_skill,H0_skill,MoE_skill,gap
0.75,DS02,11,1,0.001,0,-1.27667102274637,-0.844223735063055,0.432447287683318
0.75,DS02,11,1,0.00316227766016838,0,-1.27665487782054,-0.844213767468469,0.432441110352072
0.75,DS02,11,1,0.01,0,-1.27660382455729,-0.844182247923589,0.432421576633705
0.75,DS02,11,1,0.0316227766016838,0,-1.27644239471247,-0.844082581938474,0.432359812773995
0.75,DS02,11,1,0.1,0,-1.2759320561681,-0.757819729681221,0.518112326486884
0.75,DS02,11,1,0.316227766016838,0,-0.694873231930268,-0.488383014229541,0.206490217700726
0.75,DS02,11,1,1,0,0.0881440051645322,0.227410754729717,0.139266749565185
0.75,DS02,11,1,3.16227766016838,0,0.54856563417421,0.597031549796562,0.0484659156223521
0.75,DS02,11,1,10,0,0.847617398709484,0.856108767305405,0.00849136859592081
0.75,DS02,11,1,31.6227766016838,0,0.93517886770823,0.936362760035568,0.00118389232733751
0.75,DS02,11,1,100,0,0.962391693508941,0.956476996125805,-0.00591469738313655
0.75,DS02,11,1,316.227766016838,0,0.918149014339755,0.909303815216068,-0.00884519912368764
0.75,DS02,11,1,1000,0,0.767244895512421,0.75852449048939,-0.00872040502303062
0.75,DS02,11,10,0.001,0,-1.29660113173756,-0.830935990643783,0.465665141093774
0.75,DS02,11,10,0.00316227766016838,0,-1.29658472912183,-0.830926343786415,0.465658385335413
0.75,DS02,11,10,0.01,0,-1.29653286102057,-0.830895838456843,0.465637022563727
0.75,DS02,11,10,0.0316227766016838,0,-1.24783081323599,-0.794107910816923,0.453722902419072
0.75,DS02,11,10,0.1,0,-1.2471296215764,-0.457378463822564,0.789751157753835
0.75,DS02,11,10,0.316227766016838,0,-0.0036036297320754,0.198548684449489,0.202152314181565
0.75,DS02,11,10,1,0,0.44738660680149,0.549818853779283,0.102432246977793
0.75,DS02,11,10,3.16227766016838,0,0.791730908408703,0.8063557749859,0.0146248665771966
0.75,DS02,11,10,10,0,0.922689079188688,0.924902538134905,0.00221345894621683
0.75,DS02,11,10,31.6227766016838,0,0.959574600597005,0.960296777449691,0.000722176852685497
0.75,DS02,11,10,100,0,0.97075468292934,0.964316053347755,-0.00643862958158525
0.75,DS02,11,10,316.227766016838,0,0.921749687129612,0.911986843037084,-0.00976284409252792
0.75,DS02,11,10,1000,0,0.770270511238746,0.761077463475564,-0.00919304776318186
0.75,DS02,11,100,0.001,0,-1.25357553138724,-0.741349934036997,0.512225597350239
0.75,DS02,11,100,0.00316227766016838,0,-1.25352782244089,-0.720037360773918,0.533490461666967
0.75,DS02,11,100,0.01,0,-1.25337699839106,-0.655380165402123,0.597996832988941
0.75,DS02,11,100,0.0316227766016838,0,-1.2529004991675,-0.484763880844633,0.768136618322871
0.75,DS02,11,100,0.1,0,-1.12180909305601,-0.294518930458466,0.827290162597542
0.75,DS02,11,100,0.316227766016838,0,0.137641850460628,0.385662192638817,0.248020342178189
0.75,DS02,11,100,1,0,0.652597802187663,0.695059721483899,0.0424619192962361
0.75,DS02,11,100,3.16227766016838,0,0.855085232433244,0.864068345723593,0.00898311329034918
0.75,DS02,11,100,10,0,0.937355991203947,0.941364633622899,0.00400864241895271
0.75,DS02,11,100,31.6227766016838,0,0.962134658004597,0.963734168663113,0.00159951065851571
0.75,DS02,11,100,100,0,0.970965564690946,0.964518525496692,-0.00644703919425382
0.75,DS02,11,100,316.227766016838,0,0.921324299137715,0.911567397931181,-0.00975690120653372
0.75,DS02,11,100,1000,0,0.769682681072738,0.760563234774714,-0.00911944629802319
0.75,DS02,11,1000,0.001,0,-1.29246440731893,-0.827755908867637,0.464708498451289
0.75,DS02,11,1000,0.00316227766016838,0,-1.29244813615071,-0.82728278574929,0.465165350401419
0.75,DS02,11,1000,0.01,0,-1.29239668369612,-0.825789269136043,0.466607414560081
0.75,DS02,11,1000,0.0316227766016838,0,-1.29223399171874,-0.605297236889251,0.686936754829485
0.75,DS02,11,1000,0.1,0,-1.25179573770685,-0.319959859130551,0.931835878576297
0.75,DS02,11,1000,0.316227766016838,0,0.0702626921103688,0.322437899016149,0.25217520690578
0.75,DS02,11,1000,1,0,0.644320118032607,0.690281348184477,0.0459612301518703
0.75,DS02,11,1000,3.16227766016838,0,0.850278476203306,0.858612505535391,0.00833402933208516
0.75,DS02,11,1000,10,0,0.937037028569917,0.941268799167233,0.00423177059731616
0.75,DS02,11,1000,31.6227766016838,0,0.961996033836892,0.963827642448283,0.00183160861139076
0.75,DS02,11,1000,100,0,0.971047083456053,0.964775706768167,-0.00627137668788658
0.75,DS02,11,1000,316.227766016838,0,0.921825412054752,0.912106480395776,-0.0097189316589763
0.75,DS02,11,1000,1000,0,0.770036282430146,0.761024770843143,-0.00901151158700264
0.75,DS02,14,1,0.001,0,0.293575003849204,0.501063561179685,0.20748855733048
0.75,DS02,14,1,0.00316227766016838,0,0.293591405463052,0.501620074774624,0.208028669311571
0.75,DS02,14,1,0.01,0,0.293643266025479,0.503373961704761,0.209730695679283
0.75,DS02,14,1,0.0316227766016838,0,0.293807204594878,0.508861161907949,0.215053957313072
0.75,DS02,14,1,0.1,0,0.29432503514676,0.586042531950796,0.291717496804037
0.75,DS02,14,1,0.316227766016838,0,0.689296342844018,0.816136100485162,0.126839757641145
0.75,DS02,14,1,1,0,0.898311225915804,0.905721712751254,0.00741048683544998
0.75,DS02,14,1,3.16227766016838,0,0.956028642796668,0.948262621334538,-0.00776602146212979
0.75,DS02,14,1,10,0,0.950164667713541,0.948115312833134,-0.0020493548804067
0.75,DS02,14,1,31.6227766016838,0,0.899932133119971,0.900212105728107,0.000279972608135726
0.75,DS02,14,1,100,0,0.848273699546665,0.851231166538619,0.00295746699195398
0.75,DS02,14,1,316.227766016838,0,0.767704299660362,0.770063359746993,0.00235906008663023
0.75,DS02,14,1,1000,0,0.630642891691665,0.630030544526337,-0.000612347165327654
0.75,DS02,14,10,0.001,0,0.263891856567989,0.390195969742389,0.1263041131744
0.75,DS02,14,10,0.00316227766016838,0,0.271268354877882,0.396720046941083,0.125451692063201
0.75,DS02,14,10,0.01,0,0.280328101368882,0.413560461403635,0.133232360034754
0.75,DS02,14,10,0.0316227766016838,0,0.280508878315189,0.427185558634654,0.146676680319465
0.75,DS02,14,10,0.1,0,0.35973701259655,0.550214581715245,0.190477569118695
0.75,DS02,14,10,0.316227766016838,0,0.779901775464202,0.845227551580538,0.0653257761163358
0.75,DS02,14,10,1,0,0.948837094165749,0.932513782524643,-0.0163233116411066
0.75,DS02,14,10,3.16227766016838,0,0.93908257514886,0.945061406212601,0.00597883106374109
0.75,DS02,14,10,10,0,0.899393918908614,0.907442277876029,0.00804835896741551
0.75,DS02,14,10,31.6227766016838,0,0.875290289733329,0.880997625488009,0.0057073357546803
0.75,DS02,14,10,100,0,0.849627264205404,0.853731320093845,0.00410405588844165
0.75,DS02,14,10,316.227766016838,0,0.77816159933943,0.781006470003591,0.00284487066416139
0.75,DS02,14,10,1000,0,0.639891180847034,0.639897875840084,6.69499305017141e-06
0.75,DS02,14,100,0.001,0,0.277829083853325,0.354963252118797,0.0771341682654727
0.75,DS02,14,100,0.00316227766016838,0,0.277887250032725,0.355007591803031,0.0771203417703059
0.75,DS02,14,100,0.01,0,0.278070967520807,0.355147639852616,0.0770766723318095
0.75,DS02,14,100,0.0316227766016838,0,0.278649740754366,0.355588853850157,0.0769391130957914
0.75,DS02,14,100,0.1,0,0.349620532318098,0.54101880029239,0.191398267974292
0.75,DS02,14,100,0.316227766016838,0,0.882718067412775,0.877894611271681,-0.0048234561410937
0.75,DS02,14,100,1,0,0.948720958870128,0.948884542697795,0.00016358382766779
0.75,DS02,14,100,3.16227766016838,0,0.926216183899606,0.936071180305295,0.00985499640568921
0.75,DS02,14,100,10,0,0.890174772191688,0.900080626111539,0.0099058539198511
0.75,DS02,14,100,31.6227766016838,0,0.870045308906002,0.876226834361111,0.00618152545510864
0.75,DS02,14,100,100,0,0.846061576787949,0.850071045666491,0.00400946887854203
0.75,DS02,14,100,316.227766016838,0,0.775497961023537,0.777916644408001,0.00241868338446394
0.75,DS02,14,100,1000,0,0.63769054336929,0.637426528400054,-0.000264014969236004
0.75,DS02,14,1000,0.001,0,0.281168542060638,0.356162270010891,0.0749937279502524
0.75,DS02,14,1000,0.00316227766016838,0,0.281226007278244,0.356205432032359,0.0749794247541146
0.75,DS02,14,1000,0.01,0,0.281407512173433,0.356341767392315,0.0749342552188821
0.75,DS02,14,1000,0.0316227766016838,0,0.281979328804058,0.409720125314526,0.127740796510468
0.75,DS02,14,1000,0.1,0,0.344339586579792,0.542782026299383,0.198442439719591
0.75,DS02,14,1000,0.316227766016838,0,0.858507892922452,0.864693430660164,0.00618553773771235
0.75,DS02,14,1000,1,0,0.945243093216952,0.940960620260541,-0.00428247295641127
0.75,DS02,14,1000,3.16227766016838,0,0.927685036272352,0.933335937745372,0.00565090147302005
0.75,DS02,14,1000,10,0,0.890925659470753,0.898337103957834,0.00741144448708086
0.75,DS02,14,1000,31.6227766016838,0,0.870073026389652,0.875712774503553,0.00563974811390122
0.75,DS02,14,1000,100,0,0.845852152020094,0.849539234641194,0.0036870826210994
0.75,DS02,14,1000,316.227766016838,0,0.774969886267059,0.777349601857805,0.00237971559074601
0.75,DS02,14,1000,1000,0,0.637063240026512,0.636750655126947,-0.00031258489956576
0.75,DS02,15,1,0.001,0,-0.864122581995396,-0.486238374320311,0.377884207675086
0.75,DS02,15,1,0.00316227766016838,0,-0.86410413807286,-0.486227586408178,0.377876551664683
