subset,unit,cycle_index,cycle,parameter,is_fault,theta_true_pct,theta_D_pct,theta_B_pct
DS03,13,1,1,HPT_eff_mod,1,-0.0147047418538638,-0,-0.0092603720740348
DS03,13,2,2,HPT_eff_mod,1,0.00900637378901299,-0,0.00108275044700926
DS03,13,3,3,HPT_eff_mod,1,0.00569836806484819,-0,0.00817762162702555
DS03,13,4,4,HPT_eff_mod,1,0.00604821038784819,-0.000708068800393212,-0.00333279799729
DS03,13,5,5,HPT_eff_mod,1,-0.018303942060937,-0.000708068800393212,-0.0303683944979956
DS03,13,6,6,HPT_eff_mod,1,0.00698133242719638,-0.000708068800393212,0.0269460399161404
DS03,13,7,7,HPT_eff_mod,1,-0.0241601339504382,-0.00696528517655726,-0.00757571342980108
DS03,13,8,8,HPT_eff_mod,1,-0.0209220896380462,-0.00696528517655726,-0.022104708120038
DS03,13,9,9,HPT_eff_mod,1,0.000997083593210081,-0.00706130987285962,-0.00571464647686573
DS03,13,10,10,HPT_eff_mod,1,-0.0264109517488553,-0.0221001262040021,-0.0287524157063313
DS03,13,11,11,HPT_eff_mod,1,-0.00201793368174461,-0.0221001262040021,-0.017776942187503
DS03,13,12,12,HPT_eff_mod,1,-0.0368909386598398,-0.0261362911021476,-0.047825487109382
DS03,13,13,13,HPT_eff_mod,1,-0.0216615986774675,-0.0261362911021476,-0.0192682496056005
DS03,13,14,14,HPT_eff_mod,1,-0.0280196252328129,-0.0261362911021476,-0.0233652598259957
DS03,13,15,15,HPT_eff_mod,1,-0.0173712607138065,-0.0261362911021476,-0.0199909826792915
DS03,13,16,16,HPT_eff_mod,1,-0.0101535361162588,-0.0291624993662707,-0.0424440380035387
DS03,13,17,17,HPT_eff_mod,1,-0.0195849047586641,-0.0291624993662707,-0.0296211697972745
DS03,13,18,18,HPT_eff_mod,1,-0.0253166411398631,-0.032057456220197,-0.0194416463953858
DS03,13,19,19,HPT_eff_mod,1,-0.0511151518156348,-0.0400113830476483,-0.0473160925239644
DS03,13,20,20,HPT_eff_mod,1,-0.0295718399907249,-0.0400113830476483,-0.0338452063732444
DS03,13,21,21,HPT_eff_mod,1,-0.0346271565355132,-0.0400113830476483,-0.0296651250313304
DS03,13,22,22,HPT_eff_mod,1,-0.0448556074114059,-0.0466621836575567,-0.0447164139388912
DS03,13,23,23,HPT_eff_mod,1,-0.0389581368487327,-0.0466621836575567,-0.0331647453634731
DS03,13,24,24,HPT_eff_mod,1,-0.0332577138983749,-0.0466621836575567,-0.0643474471830728
DS03,13,25,25,HPT_eff_mod,1,-0.031921526358989,-0.0481896095143239,-0.0658068231494259
DS03,13,26,26,HPT_eff_mod,1,-0.0440119796655307,-0.0502383860365325,-0.0598808292854629
DS03,13,27,27,HPT_eff_mod,1,-0.0396521475450058,-0.0502383860365325,-0.0448757603253268
DS03,13,28,28,HPT_eff_mod,1,-0.0459285235905328,-0.0502383860365325,-0.052241299402742
DS03,13,29,29,HPT_eff_mod,1,-0.0547449423535588,-0.0502383860365325,-0.062324484549957
DS03,13,30,30,HPT_eff_mod,1,-0.0627844151037848,-0.0562859177727308,-0.0661576346149894
DS03,13,31,31,HPT_eff_mod,1,-0.0713971585523208,-0.0619787936788377,-0.0677412584895555
DS03,13,32,32,HPT_eff_mod,1,-0.0747140657696638,-0.0658454904901492,-0.0795164870813518
DS03,13,33,33,HPT_eff_mod,1,-0.0794564364144498,-0.0851507080241961,-0.0811264460551246
DS03,13,34,34,HPT_eff_mod,1,-0.0912502248417318,-0.0851507080241961,-0.101200833108965
DS03,13,35,35,HPT_eff_mod,1,-0.0884838048304898,-0.0851507080241961,-0.0902784843225615
DS03,13,36,36,HPT_eff_mod,1,-0.0799782215997678,-0.0851507080241961,-0.0798831881652562
DS03,13,37,37,HPT_eff_mod,1,-0.10200397629909,-0.0939540035784716,-0.0973106020873024
DS03,13,38,38,HPT_eff_mod,1,-0.0868820593697818,-0.0939540035784716,-0.0967352127986091
DS03,13,39,39,HPT_eff_mod,1,-0.0988862272228348,-0.0972430342910196,-0.0903938814682569
DS03,13,40,40,HPT_eff_mod,1,-0.112274967663985,-0.0972430342910196,-0.117915432902315
DS03,13,41,41,HPT_eff_mod,1,-0.124435665574638,-0.0972430342910196,-0.114555578410823
DS03,13,42,42,HPT_eff_mod,1,-0.130228009576055,-0.127361208991825,-0.133551144405859
DS03,13,43,43,HPT_eff_mod,1,-0.146050305891147,-0.135691467729846,-0.147067599177144
DS03,13,44,44,HPT_eff_mod,1,-0.136021279798243,-0.137468718251463,-0.153800012522623
DS03,13,45,45,HPT_eff_mod,1,-0.145653347521193,-0.148370018085888,-0.163191951014328
DS03,13,46,46,HPT_eff_mod,1,-0.15102611535789,-0.148370018085888,-0.164711785304371
DS03,13,47,47,HPT_eff_mod,1,-0.182001093708427,-0.175057109951693,-0.156539047028372
DS03,13,48,48,HPT_eff_mod,1,-0.196191548796437,-0.210138556289784,-0.211877090302705
DS03,13,49,49,HPT_eff_mod,1,-0.200992004579555,-0.210138556289784,-0.190790232678962
DS03,13,50,50,HPT_eff_mod,1,-0.213736251819076,-0.22266906122601,-0.243369817127773
DS03,13,51,51,HPT_eff_mod,1,-0.218596211755826,-0.22266906122601,-0.22811941190248
DS03,13,52,52,HPT_eff_mod,1,-0.212043587201828,-0.22266906122601,-0.198072523405098
DS03,13,53,53,HPT_eff_mod,1,-0.236419323756178,-0.246181660579884,-0.252905035325096
DS03,13,54,54,HPT_eff_mod,1,-0.235633714006939,-0.246181660579884,-0.244317342999201
DS03,13,55,55,HPT_eff_mod,1,-0.28343626863485,-0.246181660579884,-0.287828070638282
DS03,13,56,56,HPT_eff_mod,1,-0.266157127866053,-0.246181660579884,-0.258815269862484
DS03,13,57,57,HPT_eff_mod,1,-0.297762199437852,-0.294899600681335,-0.303395765273132
DS03,13,58,58,HPT_eff_mod,1,-0.299192857005582,-0.294899600681335,-0.313564024692862
DS03,13,59,59,HPT_eff_mod,1,-0.317472278285324,-0.294899600681335,-0.286358052613635
DS03,13,60,60,HPT_eff_mod,1,-0.35178747334213,-0.298516090166949,-0.319032519391656
DS03,13,61,61,HPT_eff_mod,1,-0.351092361285627,-0.344612309495958,-0.355574443830392
DS03,13,62,62,HPT_eff_mod,1,-0.384080568990584,-0.370807043228972,-0.366181040144862
DS03,13,63,63,HPT_eff_mod,1,-0.381294700052302,-0.382557486235543,-0.387349484295935
DS03,13,64,64,HPT_eff_mod,1,-0.412340212621182,-0.382557486235543,-0.387544560066619
DS03,13,65,65,HPT_eff_mod,1,-0.435080148910285,-0.442992570577872,-0.451767344263281
DS03,13,66,66,HPT_eff_mod,1,-0.448347523216163,-0.442992570577872,-0.436599097051924
DS03,13,67,67,HPT_eff_mod,1,-0.480000299736894,-0.488561080647267,-0.498175419337763
DS03,13,68,68,HPT_eff_mod,1,-0.494377228150388,-0.488561080647267,-0.472793446670075
DS03,13,69,69,HPT_eff_mod,1,-0.522106162650535,-0.525001826868489,-0.53326930731091
