mode,subset,unit,N,arm,lambda,skill,rmse,rmse_early,false_alarm,detect_corr
full,DS02,11,1,Z_zero,NaN,0,0.0834425248239435,0.00529926525882133,0,0
full,DS02,11,1,H0,0.1,-1.00789395820623,0.118238203661763,0.00687036673503126,0.00447818531179415,0.989950513605841
full,DS02,11,1,H0,0.316227766016838,-0.276092138245382,0.0942602208873239,0.00687188418278255,0.00436626019723242,0.966657260640948
full,DS02,11,1,H0,1,0.499945352473371,0.0590059994099663,0.00686762189857507,0.00419228671196589,0.978799225106335
full,DS02,11,1,H0,3.16227766016838,0.720093586975645,0.0441462543360057,0.00684745880190016,0.0040618435143782,0.978921887570615
full,DS02,11,1,H0,10,0.845207142521699,0.0328293962050824,0.00675245794945825,0.00384966525834893,0.979987733743114
full,DS02,11,1,H0,31.6227766016838,0.929195783897268,0.0222032728591386,0.00590103149566141,0.00361927156831105,0.983666210612373
full,DS02,11,1,H0,100,0.948312525521636,0.0189705574503704,0.00492054095691398,0.00396755414292308,0.984158980744906
full,DS02,11,1,H0,316.227766016838,0.887095154708766,0.0280377866428943,0.00424833371313919,0.00569140371678324,0.984506848260099
full,DS02,11,1,H0,1000,0.729887784433669,0.0433670168964475,0.00399345368090522,0.00677683947617753,0.987087229143936
full,DS02,11,1,TRA4,0.1,-0.662789001035175,0.107598448256427,0.00657505092630608,0.00515771498230436,0.916616140096682
full,DS02,11,1,TRA4,0.316227766016838,-0.596236524028057,0.105423166969076,0.00657312283481125,0.00513907007783507,0.916992778649871
full,DS02,11,1,TRA4,1,0.0203274144477507,0.0825900852172313,0.00656722572483916,0.00498720655634085,0.970485454833109
full,DS02,11,1,TRA4,3.16227766016838,0.485523745223733,0.0598508198896063,0.00654138541408181,0.00478442136621269,0.982476081344915
full,DS02,11,1,TRA4,10,0.748243888626079,0.0418675403480695,0.00646387380824281,0.00446763434535494,0.982670916496086
full,DS02,11,1,TRA4,31.6227766016838,0.90408232042671,0.0258426335031287,0.00541767065029371,0.00400910970761281,0.983591916241525
