mode,subset,N,lambda,GroupCount,FreeMLP,H0,MoE_K4,MoE_dir,TRA4,gap
full,DS02,1,0.1,3,-0.0212546293478061,-0.446763796512245,-0.00587733801636988,-0.0158750741363249,0.192905135098347,0.440886458495875
full,DS02,1,0.316227766016838,3,0.145640160438871,0.0640812795627497,0.160085505132745,0.1537296408329,0.293288971630996,0.096004225569995
full,DS02,1,1,3,0.490463868634726,0.681530375940875,0.433792399748007,0.440295869472071,0.579434389213774,-0.247737976192868
full,DS02,1,3.16227766016838,3,0.769018947632201,0.86151596122003,0.737141678372924,0.745258356693866,0.781847503177806,-0.124374282847106
full,DS02,1,10,3,0.879579434194813,0.91724554693067,0.876599388674571,0.879161273446462,0.876101943903894,-0.0406461582560986
full,DS02,1,31.6227766016838,3,0.923812178739603,0.934462272873195,0.923835529111232,0.924522268337273,0.921298306846755,-0.0106267437619632
full,DS02,1,100,3,0.916932029635847,0.919307787666423,0.916644620646837,0.916183325691078,0.917758488241569,-0.00266316701958635
full,DS02,1,316.227766016838,3,0.842414582135517,0.843168791404776,0.842185630649135,0.841223484519838,0.843984611344407,-0.000983160755641865
full,DS02,1,1000,3,0.683439116184571,0.685872675566556,0.683658211898477,0.682978440771799,0.684670022098907,-0.00221446366807976
full,DS02,10,0.1,3,0.454553639774109,0.272957366292493,0.466196866291251,0.499387636649635,0.571189277490144,0.193239499998758
full,DS02,10,0.316227766016838,3,0.739933018615694,0.698290208653715,0.724180743060023,0.736878274762816,0.753137414568854,0.0258905344063082
full,DS02,10,1,3,0.859872185957444,0.870919226972065,0.864152514600148,0.868545435703452,0.870274646262891,-0.00676671237191695
full,DS02,10,3.16227766016838,3,0.922904249922805,0.926223926050564,0.923642477370513,0.924413331729534,0.925601201889708,-0.00258144868005139
full,DS02,10,10,3,0.942868031429397,0.943569697794986,0.942553456861308,0.942808839717247,0.941759247169301,-0.0010162409336778
full,DS02,10,31.6227766016838,3,0.94150312597415,0.941638845666247,0.940771723904503,0.94083128383692,0.941222977683051,-0.000867121761744527
full,DS02,10,100,3,0.920236125233782,0.920139866988309,0.919250002727904,0.918912276630487,0.921958100370505,-0.000889864260405382
full,DS02,10,316.227766016838,3,0.838766060725196,0.83938718922216,0.83808263241791,0.837456209432651,0.840716755169648,-0.00130455680424924
full,DS02,10,1000,3,0.677448186159509,0.680285757479864,0.677653023377366,0.677045750703865,0.679019936271129,-0.00263273410249776
full,DS02,100,0.1,3,0.350410951127433,0.384123257318867,0.352899451742033,0.347752154500922,0.503105160483269,-0.031223805576834
full,DS02,100,0.316227766016838,3,0.7676273381245,0.772096488687161,0.759489679243214,0.766898934618763,0.793062439074132,-0.0126068094439469
full,DS02,100,1,3,0.895953837410756,0.906832937957805,0.892913933258957,0.893038463888672,0.899867696745986,-0.0139190046988482
full,DS02,100,3.16227766016838,3,0.937648788343831,0.943450070499484,0.935942503587917,0.935631009785617,0.93738416027619,-0.00750756691156773
full,DS02,100,10,3,0.94644089498561,0.947947750482729,0.945533248664111,0.945512395768216,0.944953786980439,-0.00241450181861846
full,DS02,100,31.6227766016838,3,0.943747335410543,0.944231458331843,0.942946288454474,0.942898197520218,0.94338847508755,-0.0012851698773686
full,DS02,100,100,3,0.922594488587349,0.923015888116618,0.921757011287105,0.921478885565074,0.924630648128617,-0.00125887682951309
full,DS02,100,316.227766016838,3,0.841767215293677,0.842670231676982,0.841174984858103,0.840570770605445,0.843937970175803,-0.00149524681887803
