regime,truth,prediction,count
ood_combo,0,0,93
ood_combo,1,0,0
ood_combo,2,0,0
ood_combo,3,0,0
ood_combo,0,1,35
ood_combo,1,1,0
ood_combo,2,1,0
ood_combo,3,1,0
ood_combo,0,2,96
ood_combo,1,2,5
ood_combo,2,2,164
ood_combo,3,2,6
ood_combo,0,3,0
ood_combo,1,3,0
ood_combo,2,3,58
ood_combo,3,3,183
test_id,0,0,112
test_id,1,0,19
test_id,2,0,10
test_id,3,0,0
test_id,0,1,9
test_id,1,1,11
test_id,2,1,19
test_id,3,1,0
test_id,0,2,7
test_id,1,2,0
test_id,2,2,97
test_id,3,2,13
test_id,0,3,0
test_id,1,3,0
test_id,2,3,0
test_id,3,3,126
