regime,metric,n_units,mean,ci_low,ci_high
ood_combo,detection_FAR,9,0.552476127326937,0.453047628068941,0.643616287094548
ood_combo,detection_DR,9,1,1,1
ood_combo,detection_F1,9,0.865766075895416,0.825174260391891,0.904453250834384
ood_combo,detection_delay,9,-14.5555555555556,-19.5555555555556,-9.66666666666667
ood_combo,isolation_microF1,9,0.836458469642156,0.769496046051889,0.90305790809999
ood_combo,isolation_macroF1,9,0.672351034707356,0.509437599699438,0.821015555321396
ood_combo,hamming_loss,9,0.0707947090126913,0.0433148750423393,0.0962008905823818
ood_combo,stage_weighted_kappa,9,0.731862278335871,0.655509881424761,0.811048212404388
ood_combo,stage_MAE,9,0.456707769261429,0.333916520466612,0.575750031399756
ood_combo,unknown_rate,9,0,0,0
test_id,detection_FAR,5,0.0864864864864865,0,0.259459459459459
test_id,detection_DR,5,0.90601652832501,0.824336674399265,0.977632933104631
test_id,detection_F1,5,0.924156640337536,0.882069279955519,0.966244000719554
test_id,detection_delay,5,2.6,-7.6,11
test_id,isolation_microF1,5,0.699655201910524,0.552784836080579,0.817581361544052
test_id,isolation_macroF1,5,0.414556988070597,0.298856409897836,0.52834136252313
test_id,hamming_loss,5,0.110984691865948,0.0787013660299909,0.152367582854102
test_id,stage_weighted_kappa,5,0.90182415929066,0.864416859994265,0.939231458587055
test_id,stage_MAE,5,0.220886554734925,0.149431678970524,0.292012483130904
test_id,unknown_rate,5,0.019740500463392,0,0.0438368860055607
