family,subset,unit,is_unknown,score,threshold,rejected
HPT_eff,DS04_id,6,0,0.845634736563266,0.440886844542,1
HPT_eff,DS05_id,2,0,0.253444666215519,0.440886844542,0
HPT_eff,DS07_id,3,0,0.546042107965632,0.440886844542,1
HPT_eff,DS06_id,4,0,0.396125453659166,0.440886844542,0
HPT_eff,DS01-005_id,4,1,0.245121544284339,0.440886844542,0
Fan,DS01-005_id,4,0,0.263469675824793,0.561378662434748,0
Fan,DS05_id,2,0,0.250160080420545,0.561378662434748,0
Fan,DS07_id,3,0,0.552306604985811,0.561378662434748,0
Fan,DS06_id,4,0,0.567127970536367,0.561378662434748,1
Fan,DS04_id,6,1,21.9225844990467,0.561378662434748,1
HPC,DS01-005_id,4,0,0.252912063466961,0.482054550973832,0
HPC,DS04_id,6,0,0.90134050862585,0.482054550973832,1
HPC,DS07_id,3,0,0.547644317049494,0.482054550973832,1
HPC,DS05_id,2,1,3.53838455188051,0.482054550973832,1
HPC,DS06_id,4,1,1.82085877501824,0.482054550973832,1
LPT,DS01-005_id,4,0,0.258129236168506,0.496514732207292,0
LPT,DS04_id,6,0,0.8459907780074,0.496514732207292,1
LPT,DS05_id,2,0,0.253259651702958,0.496514732207292,0
LPT,DS06_id,4,0,0.413928023871809,0.496514732207292,0
LPT,DS07_id,3,1,1.05162522816616,0.496514732207292,1
LPC,DS01-005_id,4,0,0.246719892653309,0.481297674133184,0
LPC,DS04_id,6,0,0.845642956515181,0.481297674133184,1
LPC,DS05_id,2,0,0.253317172167724,0.481297674133184,0
LPC,DS07_id,3,0,0.546490921913783,0.481297674133184,1
LPC,DS06_id,4,1,2.12567440415259,0.481297674133184,1
