regime,truth,prediction,count
ood_combo,0,0,159
ood_combo,1,0,3
ood_combo,2,0,7
ood_combo,3,0,0
ood_combo,0,1,16
ood_combo,1,1,0
ood_combo,2,1,1
ood_combo,3,1,0
ood_combo,0,2,49
ood_combo,1,2,2
ood_combo,2,2,150
ood_combo,3,2,5
ood_combo,0,3,0
ood_combo,1,3,0
ood_combo,2,3,58
ood_combo,3,3,190
test_id,0,0,85
test_id,1,0,12
test_id,2,0,8
test_id,3,0,0
test_id,0,1,40
test_id,1,1,37
test_id,2,1,21
test_id,3,1,0
test_id,0,2,0
test_id,1,2,0
test_id,2,2,111
test_id,3,2,8
test_id,0,3,0
test_id,1,3,0
test_id,2,3,0
test_id,3,3,115
