family,subset,unit,is_unknown,score,threshold,rejected
HPT_eff,DS04_id,3,0,0.359114725142793,0.488163553177555,0
HPT_eff,DS05_id,4,0,0.222439820184161,0.488163553177555,0
HPT_eff,DS07_id,5,0,0.195798292263516,0.488163553177555,0
HPT_eff,DS06_id,2,0,0.22184973149895,0.488163553177555,0
HPT_eff,DS01-005_id,2,1,0.279209814135101,0.488163553177555,0
Fan,DS01-005_id,2,0,0.301612640845553,0.341956784958898,0
Fan,DS05_id,4,0,0.240440027148668,0.341956784958898,0
Fan,DS07_id,5,0,0.198806134725108,0.341956784958898,0
Fan,DS06_id,2,0,0.222798871748289,0.341956784958898,0
Fan,DS04_id,3,1,2.84973597514686,0.341956784958898,1
HPC,DS01-005_id,2,0,0.284899684472611,0.484541241199832,0
HPC,DS04_id,3,0,0.359288103200585,0.484541241199832,0
HPC,DS07_id,5,0,0.19737003653379,0.484541241199832,0
HPC,DS05_id,4,1,3.26312501134188,0.484541241199832,1
HPC,DS06_id,2,1,3.29799867463317,0.484541241199832,1
LPT,DS01-005_id,2,0,0.308761164731357,0.490930135376904,0
LPT,DS04_id,3,0,0.358669195885075,0.490930135376904,0
LPT,DS05_id,4,0,0.244911709877391,0.490930135376904,0
LPT,DS06_id,2,0,0.2382680089686,0.490930135376904,0
LPT,DS07_id,5,1,0.769606831165014,0.490930135376904,1
LPC,DS01-005_id,2,0,0.281631694637543,0.483843243172057,0
LPC,DS04_id,3,0,0.358391358833421,0.483843243172057,0
LPC,DS05_id,4,0,0.229487957429951,0.483843243172057,0
LPC,DS07_id,5,0,0.197969722927831,0.483843243172057,0
LPC,DS06_id,2,1,0.87967108489141,0.483843243172057,1
