regime,parameter,component,n_units,precision,recall,F1,FAR
ood_combo,HPT_eff_mod,1,9,0.890553982307958,0.972629328364449,0.92485556242562,0.219068368087976
ood_combo,fan_eff_mod,2,9,0,0,0,0.0252525252525253
ood_combo,fan_flow_mod,3,9,0,0,0,0.00584795321637427
ood_combo,HPC_eff_mod,4,9,0,0,0,0.150370585522672
ood_combo,HPC_flow_mod,5,9,0,0,0,0.00564971751412429
ood_combo,LPT_eff_mod,6,9,0.992714025500911,0.830028045024838,0.900614516758365,0.0123456790123457
ood_combo,LPT_flow_mod,7,9,0.992424242424242,0.842712902558618,0.90855697543004,0.00952380952380952
ood_combo,LPC_eff_mod,8,9,0,0,0,0.0564971751412429
ood_combo,LPC_flow_mod,9,9,0,0,0,0.00577200577200577
test_id,HPT_eff_mod,1,5,0.196610169491525,0.2,0.198290598290598,0.140442718838241
test_id,fan_eff_mod,2,5,0.2,0.171428571428571,0.184615384615385,0.128461142563047
test_id,fan_flow_mod,3,5,0.2,0.195238095238095,0.197590361445783,0.0769993950393224
test_id,HPC_eff_mod,4,5,0.383333333333333,0.351612903225806,0.36378141204627,0.107762175962294
test_id,HPC_flow_mod,5,5,0.364179104477612,0.374193548387097,0.366534765404183,0.075
test_id,LPT_eff_mod,6,5,0.2,0.122727272727273,0.152112676056338,0.133815789473684
test_id,LPT_flow_mod,7,5,0.2,0.118181818181818,0.148571428571429,0.126958560193587
test_id,LPC_eff_mod,8,5,0.1375,0.2,0.162962962962963,0.36225
test_id,LPC_flow_mod,9,5,0.2,0.16,0.177777777777778,0.0513358208955224
