regime,metric,n_units,mean,ci_low,ci_high
ood_combo,detection_FAR,2,0.540849673202614,0.470588235294118,0.611111111111111
ood_combo,detection_DR,2,1,1,1
ood_combo,detection_F1,2,0.90312436599716,0.881720430107527,0.924528301886792
ood_combo,detection_delay,2,-9.5,-11,-8
ood_combo,isolation_microF1,2,0.860133287764867,0.795454545454546,0.924812030075188
ood_combo,isolation_macroF1,2,0.81691454452839,0.706901306240929,0.926927782815851
ood_combo,hamming_loss,2,0.0794384523198083,0.0376647834274953,0.121212121212121
ood_combo,stage_weighted_kappa,2,0.795951141590812,0.662566094744793,0.929336188436831
ood_combo,stage_MAE,2,0.346045197740113,0.166666666666667,0.525423728813559
ood_combo,unknown_rate,2,0,0,0
test_id,detection_FAR,5,0.0864864864864865,0,0.259459459459459
test_id,detection_DR,5,0.90601652832501,0.824336674399265,0.975814751286449
test_id,detection_F1,5,0.924156640337536,0.882069279955519,0.966244000719554
test_id,detection_delay,5,2.6,-7.8,11
test_id,isolation_microF1,5,0.699655201910524,0.552784836080579,0.806497617701688
test_id,isolation_macroF1,5,0.414556988070597,0.296940206177607,0.523086668886792
test_id,hamming_loss,5,0.110984691865948,0.0792280675901365,0.152367582854102
test_id,stage_weighted_kappa,5,0.90182415929066,0.864416859994265,0.939231458587055
test_id,stage_MAE,5,0.220886554734925,0.149431678970524,0.292341430499325
test_id,unknown_rate,5,0.019740500463392,0,0.0438368860055607
