method,regime,subset,unit,RMSE,inactive_component_error,detection_FAR,detection_DR,detection_F1,isolation_macroF1,stage_kappa,stage_MAE
D_full,test_id,DS01-005_id,4,0.101005445553967,0.025309742796907,0.432432432432432,1,0.878787878787879,0.21969696969697,0.84385506163616,0.315789473684211
D_full,test_id,DS04_id,6,0.0281610233554897,0.00347507689944701,0,0.865671641791045,0.928,0.298734463276836,0.944703530979347,0.144578313253012
D_full,test_id,DS05_id,2,0.00556070961666114,0.00205642610977401,0,0.758064516129032,0.862385321100917,0.560477646716179,0.865694551036071,0.3125
D_full,test_id,DS07_id,3,0.0215581839664629,0.00357328014265878,0,0.924528301886792,0.96078431372549,0.467000202142713,0.902985074626866,0.205128205128205
D_full,test_id,DS06_id,4,0.0176579133833316,0.00194217670888248,0,0.981818181818182,0.990825688073394,0.526875658520289,0.951882578174856,0.126436781609195
D_full,ood_combo,DS02,11,0.0280882089193708,0.000657923791153747,0.611111111111111,1,0.881720430107527,0.926927782815851,0.662566094744793,0.525423728813559
D_full,ood_combo,DS02,14,0.0360980215037362,0.00159869108738685,0.657142857142857,1,0.780952380952381,0.404805860805861,0.574065934065934,0.736842105263158
D_full,ood_combo,DS02,15,0.0883995817351753,0.00355337608841025,0.478260869565217,1,0.888888888888889,0.307568438003221,0.832969772514802,0.358208955223881
D_full,ood_combo,DS03,10,0.0444403689947597,0.0010789401194685,0.235294117647059,1,0.96078431372549,0.715965309200603,0.93236444941308,0.136363636363636
D_full,ood_combo,DS03,11,0.0261922133387856,0.000599091903419093,0.611111111111111,1,0.881720430107527,0.930943847072879,0.662566094744793,0.525423728813559
D_full,ood_combo,DS03,12,0.0255389618348357,0.00247897761414706,0.777777777777778,1,0.802816901408451,0.836965903163086,0.633144411698028,0.548387096774194
D_full,ood_combo,DS03,13,0.0580133545799088,0.000877741080977631,0.444444444444444,1,0.936507936507936,0.962307053216144,0.850574712643678,0.233766233766234
D_full,ood_combo,DS03,14,0.0253062428508667,0.00117372710199849,0.657142857142857,1,0.780952380952381,0.603208392267798,0.622743682310469,0.657894736842105
D_full,ood_combo,DS03,15,0.0867965871569883,0.00282721599533325,0.5,1,0.877551020408163,0.362466725820763,0.815765352887259,0.388059701492537
B_unconstrained,test_id,DS01-005_id,4,0.256188723945205,0.079400326476724,0,0,0,0,0,1.57894736842105
B_unconstrained,test_id,DS04_id,6,0.27446177548495,0.146512495066264,0,0.671641791044776,0.803571428571429,0.266060703560704,0.882705521173432,0.301204819277108
B_unconstrained,test_id,DS05_id,2,0.267875124007824,0.162904413905012,0,0.645161290322581,0.784313725490196,0.772156862745098,0.794326241134752,0.425
B_unconstrained,test_id,DS07_id,3,0.305270946207548,0.0631919731567956,0,0,0,0,0,1.69230769230769
B_unconstrained,test_id,DS06_id,4,0.311955486148788,0.241475120636811,0,0.745454545454545,0.854166666666667,0.625888945062352,0.814527181361352,0.32183908045977
B_unconstrained,ood_combo,DS02,11,0.354178433315116,0.00934454546718692,0,0,0,0,0,1.71186440677966
B_unconstrained,ood_combo,DS02,14,0.451190059701936,0.00760146168983435,0,0.804878048780488,0.891891891891892,0.594594594594595,0.83819532524008,0.407894736842105
B_unconstrained,ood_combo,DS02,15,0.410118766757941,0.00848303665926612,0,0,0,0,0,1.59701492537313
B_unconstrained,ood_combo,DS03,10,0.248601859974674,0.00634055432255323,0,0,0,0,0,1.75757575757576
B_unconstrained,ood_combo,DS03,11,0.294803081750408,0.00771944121616164,0,0,0,0,0,1.71186440677966
B_unconstrained,ood_combo,DS03,12,0.281655640507932,0.00525787934802675,0,0,0,0,0,1.53763440860215
B_unconstrained,ood_combo,DS03,13,0.26249741721379,0.00588908612999376,0,0.0508474576271186,0.0967741935483871,0.032258064516129,0.0580177276390009,1.74025974025974
B_unconstrained,ood_combo,DS03,14,0.243073924591738,0.00484464484307282,0,0,0,0,0,1.31578947368421
B_unconstrained,ood_combo,DS03,15,0.338663206998399,0.0065704749867119,0,0,0,0,0,1.56716417910448
sign_only,test_id,DS01-005_id,4,0.0961197604565355,0.019148984977501,0,0.379310344827586,0.55,0.183333333333333,0.479032258064516,0.884210526315789
sign_only,test_id,DS04_id,6,0.0289961347596263,0.00431951726902408,0,0.671641791044776,0.803571428571429,0.396347402597403,0.871080477623532,0.337349397590361
sign_only,test_id,DS05_id,2,0.00678231553456392,0.00266095089108095,0,0.661290322580645,0.796116504854369,0.778058252427184,0.801730353280461,0.4125
sign_only,test_id,DS07_id,3,0.0459175550976759,0.00823629582687263,0,0.622641509433962,0.767441860465116,0.255813953488372,0.721649484536082,0.525641025641026
sign_only,test_id,DS06_id,4,0.0178742602834643,0.00261654771944374,0,0.781818181818182,0.877551020408163,0.536394048983663,0.82760228464856,0.310344827586207
sign_only,ood_combo,DS02,11,0.0450636074803764,0.00122180739831443,0,0.585365853658537,0.738461538461538,0.464733081126524,0.702946838442174,0.610169491525424
sign_only,ood_combo,DS02,14,0.056061462889166,0.00237156320420433,0.4,1,0.854166666666667,0.858796296296296,0.739948674080411,0.473684210526316
sign_only,ood_combo,DS02,15,0.0710553518447154,0.00413771066813171,0,0.818181818181818,0.9,0.6,0.825974025974026,0.373134328358209
