method,regime,subset,unit,RMSE,inactive_component_error,detection_FAR,detection_DR,detection_F1,isolation_macroF1,stage_kappa,stage_MAE,n_reference_cycles
D_full,test_id,DS01-005_id,4,0.110510763731817,0.0280477409308761,0.486486486486487,1,0.865671641791045,0.21969696969697,0.757569986669206,0.410526315789474,1
D_full,test_id,DS04_id,6,0.0298780938514115,0.00344677902745221,0,0.865671641791045,0.928,0.298734463276836,0.944703530979347,0.144578313253012,1
D_full,test_id,DS05_id,2,0.00422084952242082,0.000890266539993219,0,0.758064516129032,0.862385321100917,0.857118586476385,0.843451699121802,0.3125,1
D_full,test_id,DS07_id,3,0.0180996008367351,0.00483449268331739,0,0.735849056603774,0.847826086956522,0.403816986855409,0.787366046249295,0.384615384615385,1
D_full,test_id,DS06_id,4,0.018320639118088,0.00209144595212485,0.84375,1,0.802919708029197,0.539647609743177,0.767239967239967,0.563218390804598,1
D_full,ood_combo,DS02,11,0.020902726070907,0.00064506981675217,0.611111111111111,1,0.881720430107527,0.930142460891376,0.662566094744793,0.525423728813559,1
D_full,ood_combo,DS02,14,0.0258516577002343,0.00201149056742447,0.828571428571429,1,0.738738738738739,0.603208392267798,0.529289187311878,0.802631578947368,1
D_full,ood_combo,DS02,15,0.090442213065615,0.00237990977111592,0.565217391304348,1,0.871287128712871,0.481003584229391,0.802139037433155,0.402985074626866,1
D_full,ood_combo,DS03,10,0.0671473844240387,0.000808113398395461,0.117647058823529,1,0.98,0.847321937321937,0.959735053163674,0.106060606060606,1
D_full,ood_combo,DS03,11,0.0210913701215999,0.0005462305856313,0.611111111111111,1,0.881720430107527,0.920422214329024,0.662566094744793,0.525423728813559,1
D_full,ood_combo,DS03,12,0.0124442615626041,0.00213041864867108,0.722222222222222,1,0.814285714285714,0.840788840788841,0.650313339301701,0.516129032258065,1
D_full,ood_combo,DS03,13,0.0662489770527298,0.00054007273119895,0,0.983050847457627,0.991452991452991,0.892502771813117,0.95554557700943,0.116883116883117,1
D_full,ood_combo,DS03,14,0.0169044145730446,0.00132634607820617,0.657142857142857,1,0.780952380952381,0.603208392267798,0.623675725472133,0.631578947368421,1
D_full,ood_combo,DS03,15,0.0904452099112141,0.00104191121894199,0.5,1,0.877551020408163,0.362466725820763,0.796135706678838,0.417910447761194,1
D_full,test_id,DS01-005_id,4,0.0970484717665347,0.0246646223423709,0.432432432432432,1,0.878787878787879,0.21969696969697,0.857299871771387,0.284210526315789,3
D_full,test_id,DS04_id,6,0.0301405398141678,0.00370870862279238,0,0.955223880597015,0.977099236641221,0.298734463276836,0.970452118191527,0.072289156626506,3
D_full,test_id,DS05_id,2,0.00540918370143187,0.00201661602929769,0,0.758064516129032,0.862385321100917,0.560477646716179,0.870229007633588,0.3,3
