perturbation,amplitude,regime,n_unit_runs,mean_RMSE,mean_detection_F1,mean_isolation_macroF1,mean_stage_kappa
bias,0.25,ood_combo,45,0.0487614289523966,0.86898685136459,0.621613076612336,0.738493067892858
bias,0.25,test_id,25,0.0373431778678964,0.904985762244441,0.410239877965246,0.884802377192482
bias,0.5,ood_combo,45,0.0515845717238077,0.858115281399176,0.558768307781133,0.71766740462406
bias,0.5,test_id,25,0.0391363981051538,0.885728989930259,0.40629112008513,0.829519532302073
bias,1,ood_combo,45,0.0560918778732319,0.842045614481685,0.501765848960142,0.658789873366017
bias,1,test_id,25,0.042265527071011,0.863817734056247,0.405698778956572,0.716407330087944
missing_channel,1,ood_combo,117,0.0472529521098759,0.867309243578592,0.617569217052218,0.74043227336429
missing_channel,1,test_id,65,0.041393651161667,0.916163572002099,0.395185725808241,0.887243827757455
noise,0,ood_combo,45,0.0465415045460475,0.865766075895416,0.672351034707356,0.731862278335871
noise,0,test_id,25,0.0347886551751826,0.924156640337536,0.414556988070597,0.90182415929066
noise,0.25,ood_combo,45,0.0509383779259037,0.870890113130657,0.603196551943135,0.746298956295754
noise,0.25,test_id,25,0.0367975177840652,0.923318999747275,0.406020233080395,0.902228888465311
noise,0.5,ood_combo,45,0.0597827419306025,0.867945170067894,0.463341511104325,0.729719954513856
noise,0.5,test_id,25,0.039919327657276,0.91421672906016,0.344350323723219,0.889284667695087
noise,1,ood_combo,45,0.0722218201065776,0.858569458124866,0.352719221629932,0.710223324567743
noise,1,test_id,25,0.0450287202997868,0.9158735415953,0.300867750826366,0.881801803908063
