perturbation,amplitude,seed,channel,regime,subset,unit,RMSE,detection_F1,isolation_macroF1,stage_kappa,stage_MAE,input_MSE
noise,0,43,NaN,test_id,DS01-005_id,4,0.101005445553967,0.878787878787879,0.21969696969697,0.84385506163616,0.315789473684211,0
noise,0,43,NaN,test_id,DS04_id,6,0.0281610233554897,0.928,0.298734463276836,0.944703530979347,0.144578313253012,0
noise,0,43,NaN,test_id,DS05_id,2,0.00556070961666114,0.862385321100917,0.560477646716179,0.865694551036071,0.3125,0
noise,0,43,NaN,test_id,DS07_id,3,0.0215581839664629,0.96078431372549,0.467000202142713,0.902985074626866,0.205128205128205,0
noise,0,43,NaN,test_id,DS06_id,4,0.0176579133833316,0.990825688073394,0.526875658520289,0.951882578174856,0.126436781609195,0
noise,0,43,NaN,ood_combo,DS02,11,0.0280882089193708,0.881720430107527,0.926927782815851,0.662566094744793,0.525423728813559,0
noise,0,43,NaN,ood_combo,DS02,14,0.0360980215037362,0.780952380952381,0.404805860805861,0.574065934065934,0.736842105263158,0
noise,0,43,NaN,ood_combo,DS02,15,0.0883995817351753,0.888888888888889,0.307568438003221,0.832969772514802,0.358208955223881,0
noise,0,43,NaN,ood_combo,DS03,10,0.0444403689947597,0.96078431372549,0.715965309200603,0.93236444941308,0.136363636363636,0
noise,0,43,NaN,ood_combo,DS03,11,0.0261922133387856,0.881720430107527,0.930943847072879,0.662566094744793,0.525423728813559,0
noise,0,43,NaN,ood_combo,DS03,12,0.0255389618348357,0.802816901408451,0.836965903163086,0.633144411698028,0.548387096774194,0
noise,0,43,NaN,ood_combo,DS03,13,0.0580133545799088,0.936507936507936,0.962307053216144,0.850574712643678,0.233766233766234,0
noise,0,43,NaN,ood_combo,DS03,14,0.0253062428508667,0.780952380952381,0.603208392267798,0.622743682310469,0.657894736842105,0
noise,0,43,NaN,ood_combo,DS03,15,0.0867965871569883,0.877551020408163,0.362466725820763,0.815765352887259,0.388059701492537,0
noise,0.25,43,NaN,test_id,DS01-005_id,4,0.142417095283179,0.90625,0.138047138047138,0.837038333625066,0.263157894736842,0.0634261098003151
noise,0.25,43,NaN,test_id,DS04_id,6,0.0284761893127272,0.928,0.298734463276836,0.944703530979347,0.144578313253012,0.0645908174044545
noise,0.25,43,NaN,test_id,DS05_id,2,0.00564387814923283,0.862385321100917,0.560477646716179,0.870229007633588,0.3,0.0581244348444728
noise,0.25,43,NaN,test_id,DS07_id,3,0.00931900618612448,0.96078431372549,0.467000202142713,0.923835954363244,0.141025641025641,0.0646751579926619
noise,0.25,43,NaN,test_id,DS06_id,4,0.0176495378333459,0.990825688073394,0.649382746578523,0.970550901243971,0.0689655172413793,0.0656329696531887
noise,0.25,43,NaN,ood_combo,DS02,11,0.0298080123336293,0.881720430107527,0.952442186108032,0.662566094744793,0.525423728813559,0.0603448107507124
noise,0.25,43,NaN,ood_combo,DS02,14,0.0406810788333471,0.780952380952381,0.337338217338217,0.574065934065934,0.736842105263158,0.0659106930380378
noise,0.25,43,NaN,ood_combo,DS02,15,0.0967468294667684,0.946236559139785,0.320669056152927,0.858226924480117,0.283582089552239,0.0641688345640637
noise,0.25,43,NaN,ood_combo,DS03,10,0.0575945763439962,0.97029702970297,0.961090980892961,0.904243743199129,0.151515151515152,0.0664989973479778
