method,regime,subset,unit,RMSE,inactive_component_error,detection_FAR,detection_DR,detection_F1,isolation_macroF1,stage_kappa,stage_MAE
D_full,test_id,DS01-005_id,4,0.101005445553967,0.025309742796907,0.432432432432432,1,0.878787878787879,0.21969696969697,0.84385506163616,0.315789473684211
D_full,test_id,DS04_id,6,0.0281610233554897,0.00347507689944701,0,0.865671641791045,0.928,0.298734463276836,0.944703530979347,0.144578313253012
D_full,test_id,DS05_id,2,0.00556070961666114,0.00205642610977401,0,0.758064516129032,0.862385321100917,0.560477646716179,0.865694551036071,0.3125
D_full,test_id,DS07_id,3,0.0215581839664629,0.00357328014265878,0,0.924528301886792,0.96078431372549,0.467000202142713,0.902985074626866,0.205128205128205
D_full,test_id,DS06_id,4,0.0176579133833316,0.00194217670888248,0,0.981818181818182,0.990825688073394,0.526875658520289,0.951882578174856,0.126436781609195
D_full,ood_combo,DS02,11,0.0280882089193709,0.000657923791153745,0.611111111111111,1,0.881720430107527,0.926927782815851,0.662566094744793,0.525423728813559
D_full,ood_combo,DS03,10,0.0382648661561722,0.00118014216307437,0.470588235294118,1,0.924528301886792,0.706901306240929,0.929336188436831,0.166666666666667
B_unconstrained,test_id,DS01-005_id,4,0.256188723945205,0.079400326476724,0,0,0,0,0,1.57894736842105
B_unconstrained,test_id,DS04_id,6,0.27446177548495,0.146512495066264,0,0.671641791044776,0.803571428571429,0.266060703560704,0.882705521173432,0.301204819277108
B_unconstrained,test_id,DS05_id,2,0.267875124007824,0.162904413905012,0,0.645161290322581,0.784313725490196,0.772156862745098,0.794326241134752,0.425
B_unconstrained,test_id,DS07_id,3,0.305270946207548,0.0631919731567956,0,0,0,0,0,1.69230769230769
B_unconstrained,test_id,DS06_id,4,0.311955486148788,0.241475120636811,0,0.745454545454545,0.854166666666667,0.625888945062352,0.814527181361352,0.32183908045977
B_unconstrained,ood_combo,DS02,11,0.354178433315116,0.00934454546718691,0,0,0,0,0,1.71186440677966
B_unconstrained,ood_combo,DS03,10,0.278756890808052,0.00663349114406171,0,0,0,0,0,1.75757575757576
sign_only,test_id,DS01-005_id,4,0.0961197604565355,0.019148984977501,0,0.379310344827586,0.55,0.183333333333333,0.479032258064516,0.884210526315789
sign_only,test_id,DS04_id,6,0.0289961347596263,0.00431951726902408,0,0.671641791044776,0.803571428571429,0.396347402597403,0.871080477623532,0.337349397590361
sign_only,test_id,DS05_id,2,0.00678231553456392,0.00266095089108095,0,0.661290322580645,0.796116504854369,0.778058252427184,0.801730353280461,0.4125
sign_only,test_id,DS07_id,3,0.0459175550976759,0.00823629582687263,0,0.622641509433962,0.767441860465116,0.255813953488372,0.721649484536082,0.525641025641026
sign_only,test_id,DS06_id,4,0.0178742602834643,0.00261654771944374,0,0.781818181818182,0.877551020408163,0.536394048983663,0.82760228464856,0.310344827586207
sign_only,ood_combo,DS02,11,0.0450636074803764,0.00122180739831443,0,0.585365853658537,0.738461538461538,0.464733081126524,0.702946838442174,0.610169491525424
sign_only,ood_combo,DS03,10,0.0530120375924262,0.00225974895847564,0,0.816326530612245,0.898876404494382,0.678413346952673,0.850197686337678,0.287878787878788
D_no_shrink,test_id,DS01-005_id,4,0.106343777770818,0.0262777223152542,0.432432432432432,1,0.878787878787879,0.21969696969697,0.84385506163616,0.315789473684211
D_no_shrink,test_id,DS04_id,6,0.0281613477617873,0.00347476179164104,0,0.865671641791045,0.928,0.298734463276836,0.944703530979347,0.144578313253012
D_no_shrink,test_id,DS05_id,2,0.00555829221908247,0.00205516672791182,0,0.758064516129032,0.862385321100917,0.560477646716179,0.865694551036071,0.3125
D_no_shrink,test_id,DS07_id,3,0.017337017724254,0.00306719400418881,0,0.924528301886792,0.96078431372549,0.467000202142713,0.902985074626866,0.205128205128205
D_no_shrink,test_id,DS06_id,4,0.0176451204310097,0.00194241699866805,0,0.981818181818182,0.990825688073394,0.526875658520289,0.951882578174856,0.126436781609195
D_no_shrink,ood_combo,DS02,11,0.0281825539524668,0.000658226076789658,0.611111111111111,1,0.881720430107527,0.926927782815851,0.662566094744793,0.525423728813559
D_no_shrink,ood_combo,DS03,10,0.0419134638444257,0.00117714822680941,0.470588235294118,1,0.924528301886792,0.706901306240929,0.929336188436831,0.166666666666667
