method,regime,subset,unit,RMSE,inactive_component_error,detection_FAR,detection_DR,detection_F1,isolation_macroF1,stage_kappa,stage_MAE,n_reference_cycles
D_full,test_id,DS01-005_id,4,0.110510763731817,0.0280477409308761,0.486486486486487,1,0.865671641791045,0.21969696969697,0.757569986669206,0.410526315789474,1
D_full,test_id,DS04_id,6,0.0298780938514115,0.00344677902745221,0,0.865671641791045,0.928,0.298734463276836,0.944703530979347,0.144578313253012,1
D_full,test_id,DS05_id,2,0.00422084952242082,0.000890266539993219,0,0.758064516129032,0.862385321100917,0.857118586476385,0.843451699121802,0.3125,1
D_full,test_id,DS07_id,3,0.0180996008367351,0.00483449268331739,0,0.735849056603774,0.847826086956522,0.403816986855409,0.787366046249295,0.384615384615385,1
D_full,test_id,DS06_id,4,0.018320639118088,0.00209144595212485,0.84375,1,0.802919708029197,0.539647609743177,0.767239967239967,0.563218390804598,1
D_full,ood_combo,DS02,11,0.020902726070907,0.000645069816752171,0.611111111111111,1,0.881720430107527,0.930142460891376,0.662566094744793,0.525423728813559,1
D_full,ood_combo,DS03,10,0.0744075511797959,0.000737421559466044,0.117647058823529,1,0.98,0.847321937321937,0.943944284015628,0.151515151515152,1
D_full,test_id,DS01-005_id,4,0.0970484717665347,0.0246646223423709,0.432432432432432,1,0.878787878787879,0.21969696969697,0.857299871771387,0.284210526315789,3
D_full,test_id,DS04_id,6,0.0301405398141678,0.00370870862279238,0,0.955223880597015,0.977099236641221,0.298734463276836,0.970452118191527,0.072289156626506,3
D_full,test_id,DS05_id,2,0.00540918370143187,0.00201661602929769,0,0.758064516129032,0.862385321100917,0.560477646716179,0.870229007633588,0.3,3
D_full,test_id,DS07_id,3,0.017639945393967,0.0029682613203853,0,0.886792452830189,0.94,0.426860465116279,0.881025015253203,0.230769230769231,3
D_full,test_id,DS06_id,4,0.0175635392298555,0.00212731173031214,0.78125,1,0.814814814814815,0.505336884280434,0.819357930043124,0.448275862068966,3
D_full,ood_combo,DS02,11,0.0255573811147832,0.000625236336225188,0.611111111111111,1,0.881720430107527,0.926927782815851,0.662566094744793,0.525423728813559,3
D_full,ood_combo,DS03,10,0.0405872428899395,0.00115828489446944,0.470588235294118,1,0.924528301886792,0.718237338629593,0.948757763975155,0.121212121212121,3
D_full,test_id,DS01-005_id,4,0.0852486007417622,0.0226668206345696,0.567567567567568,1,0.846715328467153,0.175757575757576,0.757795646205138,0.431578947368421,5
D_full,test_id,DS04_id,6,0.0300745131963466,0.00328503458274498,0,0.865671641791045,0.928,0.298734463276836,0.944703530979347,0.144578313253012,5
D_full,test_id,DS05_id,2,0.00442244157901735,0.00129372153317866,0,0.758064516129032,0.862385321100917,0.571412390984256,0.87792083929423,0.275,5
D_full,test_id,DS07_id,3,0.0278408202415975,0.00398138604631572,0,0.924528301886792,0.96078431372549,0.622666936190284,0.930872693149828,0.141025641025641,5
D_full,test_id,DS06_id,4,0.0182072726669591,0.00216932469138578,0,0.981818181818182,0.990825688073394,0.514066470984607,0.966636840086923,0.0804597701149425,5
D_full,ood_combo,DS02,11,0.0268298333985518,0.00057772220131961,0.611111111111111,1,0.881720430107527,0.881930546773839,0.662566094744793,0.525423728813559,5
D_full,ood_combo,DS03,10,0.0457088852455413,0.000706399198339824,0.470588235294118,1,0.924528301886792,0.718237338629593,0.935521688159437,0.151515151515152,5
