perturbation,amplitude,regime,n_unit_runs,mean_RMSE,mean_detection_F1,mean_isolation_macroF1,mean_stage_kappa
bias,0.25,ood_combo,2,0.0322841147096171,0.889347484276729,0.813091819981981,0.783979353225789
bias,0.25,test_id,5,0.0346770168125623,0.924156640337536,0.439089404945848,0.905659615922617
bias,0.5,ood_combo,2,0.0372843519793286,0.868524774774775,0.629135684667624,0.603840751891536
bias,0.5,test_id,5,0.0348361450540738,0.886266493804318,0.409386048280558,0.889382999208303
bias,1,ood_combo,2,0.0477978592596179,0.868524774774775,0.43056877404016,0.572977053623739
bias,1,test_id,5,0.0338109579746121,0.884228137639934,0.404347199163153,0.727870521231355
missing_channel,1,ood_combo,26,0.0343304377076309,0.905164934594439,0.748808059716361,0.796885578130861
missing_channel,1,test_id,65,0.041393651161667,0.916163572002099,0.395185725808241,0.887243827757455
noise,0,ood_combo,2,0.0331765375377715,0.90312436599716,0.81691454452839,0.795951141590812
noise,0,test_id,5,0.0347886551751826,0.924156640337536,0.414556988070597,0.90182415929066
noise,0.25,ood_combo,2,0.0365556247773651,0.882301656495205,0.825703442536366,0.779407130373864
noise,0.25,test_id,5,0.0407011413529219,0.92964906457996,0.422728439352278,0.909271545569043
noise,0.5,ood_combo,2,0.0683637728832634,0.935809710003258,0.651881959782823,0.804278137388763
noise,0.5,test_id,5,0.0428599670762569,0.939468911908205,0.349699770195258,0.911853496607945
noise,1,ood_combo,2,0.091620139051789,0.882301656495205,0.497234565840881,0.758232036785294
noise,1,test_id,5,0.0457205588666029,0.906717308128112,0.325561161479534,0.892139432925314
