perturbation,amplitude,seed,channel,regime,subset,unit,RMSE,detection_F1,isolation_macroF1,stage_kappa,stage_MAE,input_MSE
noise,0,43,NaN,test_id,DS01-005_id,4,0.101005445553967,0.878787878787879,0.21969696969697,0.84385506163616,0.315789473684211,0
noise,0,43,NaN,test_id,DS04_id,6,0.0281610233554897,0.928,0.298734463276836,0.944703530979347,0.144578313253012,0
noise,0,43,NaN,test_id,DS05_id,2,0.00556070961666114,0.862385321100917,0.560477646716179,0.865694551036071,0.3125,0
noise,0,43,NaN,test_id,DS07_id,3,0.0215581839664629,0.96078431372549,0.467000202142713,0.902985074626866,0.205128205128205,0
noise,0,43,NaN,test_id,DS06_id,4,0.0176579133833316,0.990825688073394,0.526875658520289,0.951882578174856,0.126436781609195,0
noise,0,43,NaN,ood_combo,DS02,11,0.0280882089193709,0.881720430107527,0.926927782815851,0.662566094744793,0.525423728813559,0
noise,0,43,NaN,ood_combo,DS03,10,0.0382648661561722,0.924528301886792,0.706901306240929,0.929336188436831,0.166666666666667,0
noise,0.25,43,NaN,test_id,DS01-005_id,4,0.142417095283179,0.90625,0.138047138047138,0.837038333625066,0.263157894736842,0.0634261098003151
noise,0.25,43,NaN,test_id,DS04_id,6,0.0284761893127272,0.928,0.298734463276836,0.944703530979347,0.144578313253012,0.0645908174044545
noise,0.25,43,NaN,test_id,DS05_id,2,0.00564387814923283,0.862385321100917,0.560477646716179,0.870229007633588,0.3,0.0581244348444728
noise,0.25,43,NaN,test_id,DS07_id,3,0.00931900618612448,0.96078431372549,0.467000202142713,0.923835954363244,0.141025641025641,0.0646751579926619
noise,0.25,43,NaN,test_id,DS06_id,4,0.0176495378333459,0.990825688073394,0.649382746578523,0.970550901243971,0.0689655172413793,0.0656329696531887
noise,0.25,43,NaN,ood_combo,DS02,11,0.0298080123336293,0.881720430107527,0.952442186108032,0.662566094744793,0.525423728813559,0.0603448107507124
noise,0.25,43,NaN,ood_combo,DS03,10,0.0433032372211009,0.882882882882883,0.698964698964699,0.896248166002934,0.227272727272727,0.0664559235939945
noise,0.5,43,NaN,test_id,DS01-005_id,4,0.15259229825618,0.90625,0,0.836713647301478,0.273684210526316,0.25370443920126
noise,0.5,43,NaN,test_id,DS04_id,6,0.0293422754180632,0.977099236641221,0.295829314225346,0.970452118191527,0.072289156626506,0.258363269617818
noise,0.5,43,NaN,test_id,DS05_id,2,0.00676452047704189,0.862385321100917,0.336286588029707,0.864655839133797,0.3125,0.232497739377891
noise,0.5,43,NaN,test_id,DS07_id,3,0.00740270298058166,0.96078431372549,0.467000202142713,0.91689497716895,0.166666666666667,0.258700631970647
noise,0.5,43,NaN,test_id,DS06_id,4,0.0181980382494177,0.990825688073394,0.649382746578523,0.970550901243971,0.0689655172413793,0.262531878612755
noise,0.5,43,NaN,ood_combo,DS02,11,0.0757670167540762,0.881720430107527,0.65820995827315,0.662566094744793,0.525423728813559,0.24137924300285
noise,0.5,43,NaN,ood_combo,DS03,10,0.0609605290124506,0.98989898989899,0.645553961292496,0.945990180032733,0.151515151515152,0.265823694375978
noise,1,43,NaN,test_id,DS01-005_id,4,0.153725665016169,0.90625,0,0.836713647301478,0.273684210526316,1.01481775680504
noise,1,43,NaN,test_id,DS04_id,6,0.0323113572730823,0.977099236641221,0.295829314225346,0.965582607665423,0.0843373493975904,1.03345307847127
