split_seed,K,unit_balanced_FAR,unit_balanced_macroF1,selected
314159,1,0.01425,0.368599698007563,0
314159,2,0,0.427871238225124,0
314159,3,0,0.45172906627001,0
314159,5,0,0.502943178198806,1
314160,1,0.019047619047619,0.33425835552527,0
314160,2,0,0.418623222527021,0
314160,3,0,0.432070854338855,0
314160,5,0,0.568113969492896,1
314161,1,0.00540540540540541,0.395261706753106,0
314161,2,0,0.48038959839381,0
314161,3,0,0.475037000273267,0
314161,5,0,0.508285406282766,1
314162,1,0.00625,0.422422035797123,0
314162,2,0,0.437094189893202,0
314162,3,0,0.432388771225419,0
314162,5,0,0.485995483573579,1
314163,1,0,0.324512091717097,0
314163,2,0,0.346692555011441,0
314163,3,0,0.353810372048586,0
314163,5,0,0.41165321375412,1
