split_seed,stage_components,regime,n_units,weighted_kappa,stage_MAE
314159,2,test_id,5,0.908438362116522,0.139786490650582
314159,2,ood_combo,9,0.77649961354048,0.306230893696647
314159,3,test_id,5,0.90182415929066,0.220886554734925
314159,3,ood_combo,9,0.731862278335871,0.456707769261429
314159,4,test_id,5,0.928095948952466,0.232398941010447
314159,4,ood_combo,9,0.78424792735482,0.53473911053184
314160,2,test_id,5,0.951224194675538,0.0674647737350053
314160,2,ood_combo,9,0.861940298698332,0.191404488338175
314160,3,test_id,5,0.932248484634083,0.160040237293501
314160,3,ood_combo,9,0.904362984638038,0.229412421413768
314160,4,test_id,5,0.950393721781721,0.174967416228221
314160,4,ood_combo,9,0.900231614178572,0.303971958355575
314161,2,test_id,5,0.855919070054971,0.168491430138489
314161,2,ood_combo,9,0.85267046477799,0.215331606847775
314161,3,test_id,5,0.891096832440598,0.218720965309201
314161,3,ood_combo,9,0.84263813736537,0.304078789966021
314161,4,test_id,5,0.894100939124085,0.2783847525024
314161,4,ood_combo,9,0.872479922649922,0.394543698312579
314162,2,test_id,5,0.886946233248157,0.129042166699456
314162,2,ood_combo,9,0.819739307737447,0.249765318339529
314162,3,test_id,5,0.91852810194815,0.183795921044003
314162,3,ood_combo,9,0.872067765040749,0.275293866294361
314162,4,test_id,5,0.939608668377097,0.231418847137517
314162,4,ood_combo,9,0.875058845686739,0.363047297134773
314163,2,test_id,5,0.870996723612004,0.187042992839794
314163,2,ood_combo,9,0.90880797318958,0.141783028883024
314163,3,test_id,5,0.878347673454332,0.269209226101796
314163,3,ood_combo,9,0.922684158755608,0.173052865882708
314163,4,test_id,5,0.892010772699618,0.347183989309352
314163,4,ood_combo,9,0.895877855966001,0.281344212367136
