split_seed,family,omitted_components,lambda,threshold,n_calibration_known,n_test_known,n_test_unknown,AUROC,AUPRC,known_accept_rate,unknown_reject_rate
314159,HPT_eff,1,0.001,0.440886844542,4,4,1,0,0.1,0.5,0
314159,Fan,[2 3],0.001,0.561378662434748,4,4,1,1,1,0.75,1
314159,HPC,[4 5],0.001,0.482054550973832,3,3,2,1,1,0.333333333333333,1
314159,LPT,[6 7],0.001,0.496514732207292,4,4,1,1,1,0.75,1
314159,LPC,[8 9],0.001,0.481297674133184,4,4,1,1,1,0.5,1
314160,HPT_eff,1,0.001,0.360022042182811,4,4,1,0.5,0.166666666666667,0.75,0
314160,Fan,[2 3],0.316227766016838,0.287753301029995,4,4,1,1,1,0.5,1
314160,HPC,[4 5],0.316227766016838,0.359972404388708,3,3,2,1,1,0.666666666666667,1
314160,LPT,[6 7],0.001,0.361047440910335,4,4,1,1,1,0.5,1
314160,LPC,[8 9],0.316227766016838,0.361432662873729,4,4,1,1,1,0.75,1
314161,HPT_eff,1,3.16227766016838,0.488163553177555,4,4,1,0.75,0.25,1,0
314161,Fan,[2 3],0.001,0.341956784958898,4,4,1,1,1,1,1
314161,HPC,[4 5],0.001,0.484541241199832,3,3,2,1,1,1,1
314161,LPT,[6 7],10,0.490930135376904,4,4,1,1,1,1,1
314161,LPC,[8 9],0.001,0.483843243172057,4,4,1,1,1,1,1
314162,HPT_eff,1,0.001,0.804009852198514,4,4,1,1,1,1,0
314162,Fan,[2 3],0.316227766016838,0.713646929656924,4,4,1,1,1,1,1
314162,HPC,[4 5],3.16227766016838,0.804081626043832,3,3,2,1,1,1,1
314162,LPT,[6 7],0.001,0.803929439618441,4,4,1,1,1,1,1
314162,LPC,[8 9],1,0.804399932335952,4,4,1,1,1,1,1
314163,HPT_eff,1,0.001,0.414571675199457,4,4,1,0,0.1,0.75,0
314163,Fan,[2 3],31.6227766016838,0.444781041040626,4,4,1,1,1,0.75,1
314163,HPC,[4 5],100,0.456435010050092,3,3,2,1,1,0.333333333333333,1
314163,LPT,[6 7],0.001,0.426803124473253,4,4,1,1,1,0.75,1
314163,LPC,[8 9],31.6227766016838,0.439995282657482,4,4,1,1,1,0.75,1
