,HPT_eff_mod,fan_eff_mod,fan_flow_mod,HPC_eff_mod,HPC_flow_mod,LPT_eff_mod,LPT_flow_mod,LPC_eff_mod,LPC_flow_mod
r_Nf_c,2.5418125152118884,0.07783672935018338,0.14922937416571963,1.9681228340368433,-0.30576663983911884,4.011841838927083,-3.995081633217801,0.34210839536011,-3.394221969275372
r_Nc_c,464.1273478160657,-352.74551252406087,470.40204950792287,327.4136337229923,-521.6994111494474,-252.88652607466418,343.91057847493056,-86.6066814976544,48.94206157623859
r_Wf_c,-410.3273869108786,-393.9100953018972,692.8734086699483,-280.819543824933,-46.92172953779546,-439.1215024168453,-0.8635774923824112,-26.20184573562579,19.970222906840533
r_T24_c,-251.03233650814832,-86.01535576966472,126.52232408395378,-169.11142848539293,-30.397729344664416,123.09152803556076,-177.8983103631002,-172.81115713575713,257.08924941211086
r_T30_c,222.74983172685322,-381.3433288563677,513.5056151244504,-717.1773118452154,-139.17159642548646,-259.8179045359951,224.7653277609614,-93.54775828462414,69.27221270155405
r_T48_c,-1111.4310132986584,-363.6270728961248,481.48319326512717,-740.6956038960453,-119.65694760758538,-317.93683205864426,-389.84710513503757,-57.53288249081944,24.770332446275972
r_T50_c,-1010.5793739106749,-271.8999397498232,323.6266823676277,-682.0448124887374,-108.52528976117948,-538.1446000323274,-239.85845880239413,-53.5917302910063,21.807300774053317
r_P15_c,-31.629968836977554,79.18113259622423,446.81446818975115,-23.037811384990007,-3.7210156321725774,15.683425475634916,-25.049568106638507,5.533517183226292,-10.928106000597971
r_P21_c,-31.434948826487815,79.6876956841901,449.4121248508225,-23.113811438806646,-3.680396790683099,15.365072323603636,-24.14234711201883,5.292828835320775,-10.001591747654395
r_P24_c,-249.8125312671644,226.11087674207522,212.74963639930297,-168.72439106140664,-30.016652651852212,125.9805571216296,-181.88113287040824,-7.1894709483361945,240.33856987542163
r_Ps30_c,279.73779813835836,-340.61082551145773,720.2604123612867,127.59362846537667,13.785404827540045,-412.7484820440982,317.4290794033995,-19.71897822671159,39.16289713307775
r_P40_c,319.48664067333664,-331.8757879530345,707.5756214047047,141.852184376642,16.692147809415992,-402.36135018700656,332.871205556916,-20.82798522154453,42.63942564918278
r_P50_c,36.308494061890414,-118.15401641826385,249.86712479557133,24.839449023240782,4.468540055466718,-182.43681859742173,92.0518871032429,-6.28941361082547,11.387287170781406
